lakeid,year4,daynum,sampledate,depth,sta,cl,so4,ca,mg,na,k,fe,mn,cond
ME,2005,31,1/31/2005,0,1,38.55,20.47,34.8,33.6,16.6,3.06,0,0,
ME,2005,105,4/15/2005,0,1,41.8,20.56,34.2,31.8,17.5,3.33,0,0,
ME,2005,213,8/1/2005,0,1,39.81,18.69,25.6,31.8,18,3.22,0.01,0,
ME,2005,306,11/2/2005,0,1,40.95,19.06,31.3,34.1,19.7,3.47,0.01,0.03,
ME,2006,65,3/6/2006,0,1,46.2,21.06,34.31,34.82,19.29,3.27,0.01,0.02,
ME,2006,107,4/17/2006,0,1,45,20.82,34.69,34.5,19.42,3.27,0,0.01,
ME,2006,219,8/7/2006,0,1,40.76,19.94,26.8,33.2,18.36,2.94,0,0,
ME,2006,303,10/30/2006,0,1,40.76,19.34,33.8,33.5,18.7,3.19,0,0,
ME,2007,3,1/3/2007,0,1,41.04,19.27,37.9,36.3,20.8,3.59,0,0,
ME,2007,3,1/3/2007,0,1,40.63,19.3,37.8,36.3,20.9,3.58,0,0,
ME,2007,50,2/19/2007,0,1,40.06,19.42,38.9,37.2,21.4,3.59,0,0,
ME,2007,106,4/16/2007,0,1,39.09,18.8,39.2,35.4,20.8,3.55,0.02,0,
ME,2007,218,8/6/2007,0,1,42.21,19.12,25.1,35.4,20.9,3.27,0,0,
ME,2007,302,10/29/2007,0,1,38.88,18.47,34.5,34.8,20.1,3.46,0,0,
ME,2008,44,2/13/2008,0,1,42.5,18.97,25.2,33.7,19.2,3.19,0,0,
ME,2008,105,4/14/2008,0,1,44.83,18.49,39.1,33.1,21.6,3.05,0,0,
ME,2008,105,4/14/2008,0,1,0.32,3.74,39,33.1,21.6,3.07,0,0,
ME,2008,217,8/4/2008,0,1,39.52,16.67,24.7,26.4,16.5,2.69,0,0,
ME,2008,303,10/29/2008,0,1,39.03,15.89,27.2,25.8,15.8,2.54,0,0,
ME,2009,21,1/21/2009,0,1,43.6,18.23,35.8,31.9,19.3,3.22,0,0,
ME,2009,105,4/15/2009,0,1,44.23,16.66,41.25,32.3,21.5,3.61,0,0,
ME,2009,217,8/5/2009,0,1,44.55,17.99,26.8,32,20.9,3.38,0,0,
ME,2009,301,10/28/2009,0,1,44.39,17.89,32.7,31.8,20.9,3.63,0.01,0,
ME,2005,213,8/1/2005,4,1,39.6,18.55,25,32.3,18.8,3.5,0,0,
ME,2005,306,11/2/2005,4,1,40.47,18.92,31.7,34.5,19.9,3.53,0.01,0.03,
ME,2005,306,11/2/2005,4,1,40.99,19.15,30.7,33.6,19.4,3.45,0.01,0.03,
