Domain,Phylum,No. Of Genomes,No. Of Hits 30%+,No. Of Hits 60%+,No. Of Hits 90%+
Bacteria,Acidobacteria,48,14962,7649,176
Bacteria,Actinobacteria,5036,32265,9323,92
Bacteria,Aquificae,24,619,71, 
Bacteria,Bacteroidetes,1525,79012,30856,1533
Bacteria,Caldiserica,2,118,27, 
Bacteria,Candidatus Cloacimonetes,1,245,46, 
Bacteria,Candidatus Saccharibacteria,29,383,92, 
Bacteria,Chlamydiae,220,435,59, 
Bacteria,Chlorobi,23,8200,5421,732
Bacteria,Chloroflexi,93,5892,1304,2
Bacteria,Chrysiogenetes,2,141,41, 
Bacteria,Cyanobacteria,390,5854,904,13
Bacteria,Deferribacteres,24,495,126,1
Bacteria,Deinococcus-Thermus,70,1501,172, 
Bacteria,Dictyoglomi,2,244,26, 
Bacteria,Elusimicrobia,5,549,106, 
Bacteria,Fibrobacteres,5,154,27, 
Bacteria,Firmicutes,11966,19734,2446,17
Bacteria,Fusobacteria,111,557,43, 
Bacteria,Gemmatimonadetes,19,214,47, 
Bacteria,Ignavibacteriae,4,4200,1682,12
Bacteria,Lentisphaerae,2,5340,1414,6
Bacteria,Microgenomates,11,99,3, 
Bacteria,Nitrospirae,24,697,108, 
Bacteria,Planctomycetes,72,5475,787,3
Bacteria,Proteobacteria,18402,184166,99434,15258
Bacteria,Spirochaetes,533,2727,531,3
Bacteria,Synergistetes,23,635,117, 
Bacteria,Tenericutes,293,133,5, 
Bacteria,Thermodesulfobacteria,8,280,36, 
Bacteria,Thermotogae,44,545,64, 
Bacteria,Verrucomicrobia,78,37059,15944,244
Bacteria,unclassified,469,1908,875,17
-,Unassigned,-,234912,497894,661809
