CSCX	CSGH	CSGO	CSGT	CSGW	CSGY	CSHY	CSNA	CSNB	CSNS	CXON	CXOT	CXPP	CXPU	CXPY	CXSC	CXSG	CXSH	CXSN	CXSP	HZHX	HZHY	HZHZ	HZIA	HZIB	HZIC	HZIF	IHPI	IHPN	IHPO	IHPP	IHPS	IHPT	IHPW	IHPX	IHPY	IHPZ	IHSA	IHSB	IHSC1	IHSC2	IHSF	IHSG	IHSH	IHSI	IHSN	IHSO	IHSP	IHSS	IHSU	IHSW	IHSX	IHSY	IHSZ	IHTA	IHTB	IHTC	IHTF	IHTG	IHTH	IHTI	IHTN	IHTO	IHTP	IHTS	IHTT	IHTU	IHTW	IHTX	IHTY	IHTZ	IHUA	IHUB	IHUC	IHUF	IHUH	IHUI	IHUN	IHUO	IHUP	IHUS	IHUT	IHUW	IHUX	IHUY	IHUZ	IHWA	IHWB	IHWC	IHWF	IHWG	IHWH	IHWI	IHWN	IHWP	IHWS	IHWT	IHWU	IHWW	IHWX	IHWY	IHWZ	IHXA	IHXB	IHXC	IHXF	IHXG	IHXH	IHXI	IHXN	IHXO	IHXP	IHXS	IHXT	IHXU	IHXW	IHXX	IHXY	PTWY	PTWZ	PTXA	PTXB	PTXC	PTXG	PTXH	PTXN	PTXO	PTXP	PTXS	PTXT	PTXU	PTXW	PTXX	PTXY	PTXZ	PTYA	PTYB	PTYC	PTYG	PTYH	PTYN	PTYO	PTYP	PTYS	PTYT	PTYU	PTYW	PTYX	PTYY	PTYZ	PTZA	PTZB	PTZC	PTZG	PTZH	PTZN	PTZO	PTZP	PTZS	PTZT	PTZU	PTZW	PTZX	PTZY	PTZZ	PUAA	PUAB	PUAC	PUAG	PUAH	PUAN	PUAO	PUAP	PUAS	PUAT	PUAU	PUAW	PUAX	PUAY	PUAZ	PUBA	PUBB	PUBC	PUBG	PUBH	PUBN	PUBO	PUBP	PUBS	PUBT	PUBU
1	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	TB_epi	ME_epi	TB_hypo	ME_epi	ME_epi	TB_hypo	TB_epi	TB_epi	TB_hypo	TB_hypo	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_hypo	TB_epi	TB_hypo	TB_hypo	NA	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_epi	TB_epi	TB_epi	TB_epi	TB_hypo	TB_hypo	TB_hypo	TB_epi	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_epi	TB_hypo	TB_epi	TB_epi	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi
4-hydroxybutyryl-CoA-synthetase	1	2	5	2	3	1	1	7	1	1	1	6	1	0	1	0	1	0	2	1	6	3	6	19	12	6	9	0	5	1	1	0	2	4	1	4	1	7	1	2	4	2	8	5	2	0	3	3	0	4	4	0	14	1	4	0	2	1	0	1	0	2	2	1	0	0	1	2	5	0	6	5	1	5	5	1	2	5	2	4	1	0	1	2	3	8	5	4	3	3	3	0	9	6	0	1	5	6	2	0	0	4	5	2	3	0	6	1	1	9	7	4	3	6	1	5	9	8	2	2	5	2	3	4	11	8	4	11	2	1	3	8	2	7	1	5	1	4	3	1	3	2	5	2	5	5	3	4	5	2	0	3	4	7	0	6	3	1	2	1	5	3	1	4	1	3	2	4	1	6	1	3	2	8	1	0	0	5	1	3	1	0	5	0	0	0	2	3	4	0	2
aclA_alignment-sample1	0	3	1	2	6	2	2	3	4	0	3	7	2	5	2	4	2	2	1	1	22	19	46	8	12	46	23	0	9	2	1	4	7	4	2	16	3	22	9	4	8	11	9	8	3	6	15	5	0	8	10	5	24	3	6	0	10	7	0	5	2	6	8	3	1	0	6	10	10	6	17	1	3	7	5	11	2	11	4	5	13	3	7	5	9	28	18	19	5	14	14	0	23	20	0	3	8	12	4	0	5	18	11	2	4	8	8	11	8	14	18	26	11	7	6	3	8	5	3	0	3	1	2	4	4	11	5	3	1	6	3	8	3	6	1	1	1	9	7	1	2	2	2	2	4	8	6	3	5	2	3	7	5	3	0	4	10	2	4	3	6	1	6	12	1	5	3	7	2	7	1	3	6	4	1	2	3	3	5	4	4	1	4	1	2	0	4	3	3	7	4
aclB_alignment-sample1	0	1	0	1	1	1	3	1	0	1	3	2	1	5	0	0	2	0	0	3	5	4	8	14	9	8	5	0	3	2	1	0	0	0	1	3	0	4	2	9	4	4	2	0	1	2	7	3	0	4	7	2	7	4	2	0	4	3	0	1	0	2	3	2	0	2	3	2	5	4	10	5	2	2	2	2	4	2	5	6	1	0	0	5	5	7	7	3	1	3	6	0	7	2	0	1	4	3	0	0	0	7	2	1	4	2	6	3	1	3	2	10	3	4	1	1	5	6	2	1	0	1	2	1	0	4	1	1	1	1	7	4	2	3	1	0	3	4	1	0	0	2	1	0	2	1	1	1	1	1	0	3	0	3	0	0	3	0	0	1	1	1	2	5	2	1	0	5	5	1	0	2	2	4	2	5	2	1	1	0	0	0	1	0	1	0	2	0	0	2	1
TIGR02061-sample1	0	1	2	4	3	0	0	0	1	0	0	2	4	2	1	1	0	1	1	0	24	4	75	12	3	75	7	0	17	4	4	11	3	5	2	7	2	8	7	6	3	2	4	2	2	2	4	6	0	5	2	2	14	1	6	0	6	1	0	1	1	2	3	1	0	1	2	11	3	2	34	23	11	26	25	23	16	28	42	17	16	1	4	6	7	17	3	8	3	16	28	0	12	19	0	3	2	6	10	0	26	7	5	3	5	1	9	12	6	7	10	11	5	8	8	0	5	16	5	1	1	6	0	5	1	5	1	4	3	2	5	7	0	6	4	4	0	2	4	5	3	5	3	2	4	0	5	13	2	4	4	5	0	2	0	6	11	5	3	4	1	2	4	2	2	2	1	1	0	2	3	3	2	2	3	5	3	1	3	4	2	4	3	1	0	0	1	4	1	2	7
TIGR02689-sample1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	2	2	3	2	4	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	5	1	1	3	0	1	1	0	0	1	1	5	0	1	0	3	2	0	2	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	2	1	0	2	0	0	3	2	0	0	0	0	0	2	0	0	0	0	1	0	1	0	2	0	3	0	2	1	0	0	0	0	0	0	0	0	1	2	0	2	0	0	1	0	0	0
TIGR02693-sample1	5	1	6	2	7	3	7	6	0	1	4	10	6	15	0	2	7	3	2	4	27	14	9	8	13	9	22	1	4	1	4	6	2	11	7	4	1	3	0	6	2	3	4	8	0	5	2	1	1	15	11	2	12	3	2	0	2	4	0	1	2	0	4	0	2	0	0	4	4	5	11	7	1	5	2	2	5	2	2	12	1	1	4	6	10	5	1	5	3	3	1	0	9	2	0	1	10	10	3	0	3	3	4	3	3	1	4	7	1	4	3	5	3	7	2	1	3	4	13	17	21	18	5	4	7	2	6	9	34	8	8	6	6	10	5	5	0	21	12	3	4	4	3	4	5	9	4	4	3	2	13	11	21	26	0	4	11	4	6	3	11	7	8	4	5	18	9	4	8	6	9	6	8	4	7	12	1	7	7	10	9	7	13	1	9	1	5	6	5	3	8
TIGR02694-sample1	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	2	0	1	0	1	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	3	2	0	1	1	0	3	3	1	1	0	0	0	0	3	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	2	0	0	0	1	0	0	2	0	0	0	0	0	2	1	0	0	0	0	4	1	0	0	2	3	4	4	0	2	2	1	9	1	0	0	0	0	0	0	1	0	2	0	1	2	1	2	0	0	1	0	0	0	0	0	0	0	1	1	2	3	0	0	1	0	0	1	1	2	0	2	2	0	1	1	3	1	0	5	0	1	0	0	0	0	0	4	0	2
TIGR02691-sample1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	5	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0
TIGR02910-sample1	0	0	1	1	1	2	0	1	0	0	0	2	2	2	2	0	0	2	0	2	3	4	1	0	0	1	4	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	2	5	0	1	2	1	0	0	1	1	2	1	0	0	1	0	0	3	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	2	0	0	0	2	0	1	1	0	1	2	0	0	0	1	0	0	1	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	3	1	1	3	1	0	1	2	2	0	2	0	3	0	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	3	2	2	0	1	0	1	1	1	0	0	0	0	0	1	0	0	2	3	0	0	0	1	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	2	1
