	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	TB_epi	ME_epi	ME_epi	ME_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi	ME_epi
citrate_lyase	1	0	4	1	3	7	3	5	4	4	1	6	9	3	10	2	4	4	2	1	4	27	23	22	21	28	0	2	4	7	4	3	3	12	15	11	8	4	8	22	8	0	12	17	7	31	7	8	0	14	10	0	6	2	8	11	5	1	2	9	12	15	10	3	7	10	14	6	25	3	8	5	1	3	2	4	5	4	15	6	4	2	7	10	12	5	9	2	1	4	13	8	1	2	4	3	2	6	9	7	4	6	3	3	10	5	6	0	4	13	2	4	4	7	2	8	17	3	6	3	12	7	8	1	5	8	8	3	7	5	4	6	4	4	1	5	1	3	0	6	3	3	9	5
methane_ammonia_monooxygenase	6	3	5	17	3	42	23	9	8	0	1	5	10	0	6	10	4	3	2	16	3	50	25	175	10	42	3	6	12	3	10	9	7	74	17	29	8	8	8	165	9	2	21	16	30	86	20	22	0	15	22	0	6	9	36	34	33	14	4	65	49	472	13	0	18	9	24	6	38	14	18	8	3	6	8	93	13	19	124	6	75	8	4	116	25	4	32	4	8	5	12	7	12	12	16	6	10	31	8	31	47	55	19	32	11	7	16	0	29	14	2	25	17	11	30	12	12	3	3	5	8	5	21	17	45	6	7	0	7	41	5	3	12	3	7	11	1	1	8	107	12	8	22	37
methanol_dehydrogenase	12	8	6	25	13	15	22	26	30	9	3	14	44	8	27	6	16	11	5	28	15	92	32	502	135	104	7	16	16	22	25	30	13	69	64	70	26	18	22	247	58	2	76	69	58	148	27	57	5	45	64	0	19	33	43	47	23	11	5	113	65	571	14	11	37	62	76	37	176	38	36	27	17	20	27	128	21	47	124	30	72	50	23	145	70	18	61	18	13	15	6	17	19	21	50	14	20	57	36	56	72	71	41	55	35	16	36	0	61	31	14	35	39	43	58	29	41	13	25	58	24	27	36	39	30	12	10	13	22	51	20	36	37	9	18	25	3	4	5	345	26	6	13	65
nitrate_reductase	13	3	13	34	11	19	31	21	38	13	7	7	83	5	90	8	21	16	7	25	34	130	414	293	81	96	16	38	64	20	30	28	20	43	76	48	43	23	39	95	79	4	107	75	37	117	25	68	3	66	89	0	17	57	100	64	28	31	19	44	42	93	22	7	71	18	59	16	133	61	93	37	56	71	56	112	26	205	92	58	60	164	28	79	521	30	270	54	25	15	38	69	22	25	54	53	20	109	67	79	102	126	89	68	53	53	127	0	118	109	32	34	39	70	52	29	77	19	44	32	49	33	44	52	49	67	101	33	72	35	196	22	100	85	28	101	2	103	8	235	167	54	21	102
nitric_oxide_reductase	4	9	10	11	7	12	12	15	8	8	1	9	14	15	14	2	9	8	8	2	14	255	22	63	56	40	4	23	18	11	12	14	9	38	22	46	19	4	6	31	74	0	24	9	10	49	9	82	0	59	57	0	16	12	16	21	7	5	0	14	47	70	3	1	10	9	27	4	150	34	65	12	9	28	9	18	15	30	27	12	28	18	11	16	46	11	19	9	15	14	15	20	9	9	11	20	10	16	23	15	18	14	26	24	28	18	32	0	21	30	21	5	15	15	14	13	21	12	32	13	20	11	24	12	30	6	13	9	13	11	16	14	19	6	7	11	1	9	1	22	20	7	8	12
nitrite_reductase	7	9	5	22	3	16	10	16	18	6	2	9	24	9	16	2	6	19	8	15	19	164	36	49	42	153	5	21	60	34	48	44	23	42	68	43	41	33	44	214	52	2	97	112	40	174	31	50	3	51	41	0	13	39	63	41	27	5	24	117	68	467	24	18	41	72	75	98	107	68	60	24	14	22	80	24	26	25	35	26	19	27	17	24	35	21	47	34	10	14	20	25	11	21	28	45	9	18	14	25	18	20	43	14	22	31	34	0	16	107	31	12	18	33	18	18	32	13	14	12	17	22	33	18	26	21	21	17	26	16	20	11	13	17	9	23	1	15	3	25	27	18	10	22
nitrogenase	25	285	250	53	66	49	28	49	224	94	19	68	66	708	62	24	268	26	68	23	134	872	36	121	189	175	4	70	110	54	73	85	58	183	149	196	123	63	40	222	358	3	107	95	99	416	60	323	5	184	197	0	89	59	112	92	25	14	11	124	242	381	24	18	76	57	175	79	500	166	275	58	19	44	69	39	39	44	60	33	59	36	46	72	88	40	84	21	90	76	50	63	35	32	44	48	43	195	57	44	179	91	30	63	164	58	92	0	323	83	68	29	42	73	27	42	52	24	87	32	90	57	106	42	61	51	17	18	39	37	16	30	40	23	20	50	4	20	10	28	19	24	26	40
nitrous_oxide_reductase	18	39	28	57	26	64	42	64	44	60	6	32	44	42	61	17	46	17	28	40	73	17	205	173	151	13	1	4	8	4	10	7	1	7	19	10	5	6	7	19	7	0	11	9	6	29	6	10	0	7	7	0	3	3	9	4	1	0	2	8	12	16	4	5	2	8	8	6	21	13	6	56	36	42	75	23	30	40	25	47	68	75	47	30	184	22	89	15	43	91	53	127	24	61	63	48	28	66	52	60	71	70	54	63	101	102	107	0	56	79	69	21	77	50	69	67	59	40	86	35	63	76	67	13	57	47	16	12	30	48	112	62	50	14	67	24	8	65	5	40	74	31	33	28
rubisco	69	103	113	97	55	86	39	112	93	43	18	51	53	341	103	38	132	49	35	25	60	468	64	302	115	283	17	32	109	246	58	28	132	60	125	192	79	141	167	152	146	31	538	365	124	1070	216	92	4	130	162	0	130	37	73	65	48	13	38	111	82	152	80	42	209	105	196	178	85	108	122	56	17	42	147	166	46	50	188	51	145	40	45	133	300	40	368	29	46	40	83	62	76	55	43	56	77	140	45	74	158	109	46	105	185	57	94	0	228	193	80	69	62	87	27	65	93	9	124	46	133	44	227	61	89	60	35	77	42	83	17	29	62	16	79	95	9	7	11	33	45	38	74	120
SOX	34	29	18	40	28	45	19	48	29	30	10	26	63	14	38	17	13	26	19	29	56	354	46	95	77	529	11	33	78	79	162	143	39	87	141	132	134	117	123	624	206	8	243	273	76	440	72	227	8	175	216	0	65	98	229	226	105	23	27	322	94	1187	72	78	109	322	279	335	678	112	115	24	32	55	49	27	43	95	49	69	47	72	41	41	80	31	66	25	27	28	36	71	29	30	47	39	34	35	53	46	32	26	38	56	91	52	70	0	38	68	36	24	52	55	51	60	46	15	67	26	51	36	95	31	45	45	30	21	35	20	42	34	23	30	30	32	4	26	7	35	33	31	37	39
