	MEDH09Jun2009	MEDH13Jun2011	MEDH30Jul2009	MEDH26Oct2009	MEDH25Sep2008	MEDH07Jul2009	MEDH01Nov2011	MEDH18Jun2009	MEDH12Oct2012	MEDH22Apr2009	MEDH19Aug2010	MEDH29Oct2010	MEDH12Jul2011	MEDH02Jun2012	MEDH05Aug2010	MEDH19Jul2008	MEDH13Sep2012	MEDH13Oct2010	MEDH27Aug2008	MEDH10Aug2009	MEDH20Jul2012	MEDH24Aug2012	MEDH21Jun2010	MEDH06Jul2010	MEDH03Aug2012	MEDH17Oct2008	MEDH23Jul2008	MEDH03May2011	MEDH17Aug2012	MEDH27Sep2009	MEDH26Aug2009	MEDH15Jul2010	MEDH15Jun2010	MEDH26Oct2012	MEDH20Aug2008	MEDH14Nov2009	MEDH08Oct2012	MEDH01Jun2011	MEDH27Jul2012	MEDH18May2010	MEDH07Oct2009	MEDH03Oct2011	MEDH09Aug2011	MEDH31Aug2012	MEDH30Aug2010	MEDH21Jul2008	MEDH13Jun2010	MEDH09Jul2008	MEDH25Jul2011	MEDH13Sep2009	MEDH28Jun2011	MEDH22Jun2012	MEDH08Oct2008	MEDH21Sep2011	MEDH16Nov2012	MEDH16Jul2010	MEDH06Jul2012	MEDH07Sep2012	MEDH29Apr2009	MEDH12Sep2008	MEDH14Sep2010	MEDH29Jun2012	MEDH14Sep2009	MEDH30Nov2011	MEDH22Aug2011	MEDH18May2011	MEDH20Apr2010	MEDH02Jun2010	MEDH21Sep2012	MEDH17May2012	MEDH18Jul2008	MEDH13Jul2012	MEDH27Sep2012	MEDH19Nov2010	MEDH17Aug2010	MEDH04Sep2011	MEDH05May2010	MEDH02Apr2012	MEDH22Oct2012	MEDH09Nov2012	MEDH26Sep2010	MEDH15Jun2012	MEDH08Jun2012	MEDH26Jun2009	MEDH22May2010	MEDH05Nov2012	MEDH15Mar2012	MEDH05May2012	MEDH27Jul2010
Proteobacteria	35.0934681144	28.9222937696	21.1160240892	28.3042083906	25.8482055305	18.5956735397	25.1153408503	23.6794717887	24.0644560861	25.5702312404	20.229169456	27.2672286211	32.8050962974	21.9817593169	20.0565500322	25.2961672474	21.9985310125	27.6672654045	18.0706066361	21.046474187	32.7233741361	24.0362376473	21.0819297745	17.8473653152	24.4434631519	36.2164591371	16.7659642886	39.9018030983	29.6443307476	16.2658779198	20.0714662399	21.3888282784	22.2314573501	25.4330455963	22.6999493799	35.190289945	18.002002746	26.2269233296	20.769880516	14.2235145697	57.0100409074	27.5959125134	21.8761399669	23.3051966382	15.1939666199	12.645698857	18.9566943379	34.5254809007	24.1690687413	14.3370004515	26.4663389458	28.3921677909	30.022615353	17.3689330097	16.5015106686	61.8090452261	23.5386546727	27.1345573297	25.0118480457	24.2738026441	15.9488964821	32.3713670614	18.7948611519	36.9249290567	23.6877880918	35.0326180004	31.3322283228	27.759793402	25.089226355	24.8875589911	19.7631159365	31.9560726765	20.3372743103	35.4188348945	19.1131802029	17.1125365532	68.4210526316	27.0966474226	19.4156777475	18.1970005126	17.9484107013	30.3399236451	26.7409656645	23.9978274748	28.9753060363	20.3009622398	36.1200876606	28.0753625012	22.6651270656
Actinobacteria	36.3933157602	49.2048816568	23.7150117044	25.0710125008	25.0926885757	53.6957292669	23.9846901831	48.1848739496	28.5136372506	21.1710234651	14.0413710001	21.2328678978	35.0342627709	26.9269657757	20.4068691657	31.9860627178	21.0197959346	24.982986177	13.4761479164	29.0801760223	8.8877786105	25.1908327163	31.4147397469	24.3927213629	29.67908535	32.2003244476	21.8815038454	28.1825107932	28.2356824559	24.5922894593	16.2126529796	16.0402574733	30.6360498697	21.0050772282	23.006833713	34.0573539812	39.0576770211	41.7843768478	30.0604390648	69.0113541955	18.4339775073	32.7016851918	39.5207228442	22.8508208813	18.3897342488	18.99840121	14.5258500377	34.6649649011	34.2736406123	15.3237085247	36.4251769602	30.107615012	25.2949296574	24.2425068863	13.5435745707	6.5326633166	25.1731333605	30.1989785263	28.8481205258	27.1915651425	25.9375067157	20.361679225	27.6623100519	20.0275174134	29.4082035814	30.7593155632	39.6146275769	42.2774281938	24.3929108786	26.6921563738	31.4421835851	10.1458156627	21.5045700336	31.8962986684	13.9286494213	35.9013300632	4.6052631579	39.0987433683	27.4471143215	20.728541429	24.4581845488	24.4624325991	25.7655132526	41.5190524741	55.8421274799	22.9698538155	33.3407622019	28.0774593988	25.5790484877
Cyanobacteria	2.5005441223	2.4745475113	16.6333206619	17.9658354604	14.2558298079	8.3276761741	31.2392676115	1.1776710684	11.5852834777	21.6812476227	25.2644262954	7.761405315	6.2368443014	14.4863297009	15.1801492755	27.8919860627	13.3846004088	10.8977720259	24.616430194	10.6182247505	35.6107919061	11.9801808226	8.8685888286	13.9758733107	8.2537366446	4.6310505086	47.5351263477	1.1868280708	9.3315728668	22.8409067888	25.6469240421	17.1639755619	2.2751285483	12.4914625215	19.1098772463	9.9756094041	8.863699712	1.7288145138	26.9933820454	0.2677005446	3.6521716828	4.4272140552	5.6345932598	12.9228471786	17.4830899584	61.6655278329	34.4636155938	17.3434223721	7.958096624	30.7498320614	7.4282391212	7.401093362	10.253272373	12.0935264225	47.9907324786	0	14.0136178845	10.856481042	23.10493627	14.5829156396	18.4234844089	15.5263724435	15.8123854744	5.4002923725	15.9143530811	3.4930287019	0.6979695431	5.913020284	12.1321599776	16.3993018037	35.4006909119	22.8004886225	19.3757759059	2.3256744856	23.3934208175	10.220733893	2.4671052632	6.0660784295	23.1545293727	37.5233559866	13.4213658622	8.2212717946	8.6200184635	12.0213059925	7.2826086957	31.4861259605	0.4986628037	0.4487360949	15.1925633387
Bacteroidetes	18.6500931054	15.4531413157	12.9509213501	18.3428234832	15.0402973506	5.7358528801	7.7986965967	21.3589435774	16.4525135472	28.6761716137	16.2906680948	5.0164082105	14.4395092866	15.7384616956	13.8817854841	7.5609756098	21.8887994124	19.4660448719	10.068707407	12.8303101857	9.2208621312	24.009726755	7.4947663907	8.9048185661	21.3293526989	8.4838653104	7.3700570775	5.0444425633	19.2795840898	16.572800389	13.0475896056	16.0593497709	10.0979080087	16.4018333978	13.2767021007	12.8317626174	17.587000733	25.2067162848	14.6292059275	14.3742884396	15.6602249266	18.4555396199	13.2109885793	24.1128745868	13.0521985612	3.2891288917	12.6588167185	6.8456559395	12.6353790614	11.4418491966	20.7945262737	20.8894425821	9.1920151161	13.4116962573	15.1638253573	13.8190954774	20.801775812	17.5843475289	20.0194557382	7.9501362173	11.4810994348	11.1388589882	17.0080079371	9.8235015909	14.63878327	6.6869360727	1.6963638247	9.0483638259	15.1536092935	17.3062181956	9.8046845342	14.7171143677	16.7154081369	5.9536199397	13.9246788827	13.6402226205	11.8421052632	12.5064328689	13.6553770178	17.8233047274	7.9788466301	22.6244047072	19.2432179919	15.8584809475	4.173701984	19.29175951	12.8138696976	35.8254961784	14.0562989414
Planctomycetes	0.0955236875	0.6167333797	14.2624197195	2.3011977224	10.8639415758	4.7195906581	3.9867590773	0.1740696279	9.5017937826	0.6702430451	12.2026598831	18.3205713918	5.0471518782	11.9401918029	16.734235639	1.1149825784	15.3801226516	8.8148338224	19.0071872789	20.1567028013	4.0372498404	5.1650531589	24.1150442478	28.5592671059	6.6054852118	10.8865310417	2.5876930498	9.6317616186	5.9778841393	12.5534328721	18.7221545344	15.2383809732	26.7760794534	10.7913728265	13.6626803341	4.081455931	8.7171069611	0.3040911523	2.3503169566	0.3984737992	1.7324732948	12.475797777	8.3284227067	6.4095209477	16.2285234796	0.5546009991	8.9495611541	0.4357735436	6.9972667655	13.2798132303	0.7514561166	5.6184379841	16.4318651303	20.072544795	0.8610028335	0	9.6696956345	5.3465985684	0.3354867676	14.7904848392	12.8274557841	11.1377825619	10.3212286261	14.41117035	7.7245788814	13.8205862385	22.4191961048	0.2643097031	14.3304524301	7.5878055763	0.3188823931	7.6284358805	12.2578548754	8.8757238545	16.3010462369	10.1367795491	0	8.4820300731	9.2126114837	0.8995155183	21.3466899929	6.3576610734	9.0248812662	0.6288888677	0.0907555931	1.1660787977	9.0502191516	0.0461317481	10.9512211689
Verrucomicrobia	5.0591279534	2.0514270797	7.1617214542	3.1481117874	5.3007592525	6.1299964537	5.9770352746	3.2629051621	5.9765232141	1.4664025918	4.4874369617	17.1520494177	4.2552599612	5.7571517572	7.236117175	3.0836236934	3.5087564047	4.1658764071	11.3181022605	3.2607062359	7.3895966914	6.8864328223	5.829527072	4.2332956052	7.1008246057	3.9470799719	2.5885862817	13.9693557945	5.0734444628	3.5068171228	3.2441672274	9.767073969	6.0252165951	10.2902331246	5.394203999	1.4244685304	3.9373574076	3.7917538739	4.2889594148	1.0231084033	0.8489247381	2.1038006454	7.9636333025	6.9476693893	10.6310694514	1.8767538593	3.8012632972	4.7479259732	10.6820026306	9.1490744106	3.9262900602	3.4079453155	4.2851688319	9.3999145462	4.989902785	6.5326633166	4.624094843	6.1544741689	1.9792472126	7.1222181599	10.8009369695	4.9730893434	6.3861020278	10.3749247571	5.1256452195	7.895228818	3.9469594945	12.59835837	4.8575877392	4.0534175602	2.3213878977	10.3373686624	6.8612992726	13.6111333493	6.3806555359	9.1802660126	5.7565789474	5.133195475	4.2492813444	3.4227888288	10.2132112701	4.0335594243	5.5312712025	4.5680200482	2.1105951878	2.9716523946	7.2022880915	6.7666886841	6.6312817179
Chlorobi	0.0048366424	0.0195788375	2.3949100658	1.6493225996	0.6453179428	0.0303966766	0.0299989656	0.0036014406	0.5734099881	0.0891908553	4.1940018744	0.0952319671	0.1520729208	0.1613677448	2.0904800516	0	1.2583736715	0.2253634264	1.0957807321	1.3405602662	0.2262192245	0.1078719067	0.1784184984	0.3076297995	0.3887838266	0.1709926342	0.4162461033	0.1532210277	0.1039775541	0.4821620308	0.3391464058	1.8655902247	0.0070437416	0.7085078545	1.3960073399	0.1472095138	1.1159631247	0.0234638235	0.0410034361	0.1046186036	1.3811056539	0.082466834	0.2497404383	0.2094317116	0.6364929443	0.2494377699	3.1923581892	0.2908195825	0.7117603709	2.8191659233	0.0109038372	0.439311854	0.4865727461	0.4509049918	0.0649665774	0	0.6476393173	0.2259393571	0.0660996234	0.2512059063	0.0816624761	0.8729817008	0.9617623536	0.1343623699	0.206045415	0.0324704077	0.0129493422	0.0060621492	1.3480177753	0.2225731675	0.0417584086	0.5535557026	1.046483532	0.0747204654	0.8070119712	0.0679181209	0	0.0327491509	0.2810127515	0.0355507052	0.0734935813	0.2800991827	0.2802896326	0.0161986527	0.0021105952	0.0399684249	0.0204293886	0.0031453465	1.9377625974
unclassified_Bacteria	0.0278106938	0.0413331013	0.2520957964	0.4934877937	0.68454132	1.5451643954	0.1437881452	0.0360144058	0.7820591723	0.0196744534	0.2733520775	1.0810115179	0.250363955	0.5382329211	0.5696584129	0.3658536585	0.729184181	1.3666841453	0.2253007113	0.2694000215	0.468398701	0.5704412692	0.2414597012	0.2021843651	0.3993433873	0.4055594528	0.2233079953	0.0397866757	0.3350387853	0.8194728632	0.5810041643	0.3750272747	0.2338522223	0.4608181167	0.1360415085	0.1529824359	0.6782495587	0.0122011882	0.1640137444	0.0076925444	0.5219220066	0.5530656149	0.1613491596	0.7585070251	4.0082682685	0.3516011119	0.4807145589	0.4403318443	0.430041325	0.49555651	3.4465212216	0.6597873927	0.7195794132	0.5027227025	0.1424568324	0	0.2194823874	0.5800375933	0.021201766	0.2146454223	0.8316678486	0.6426264801	0.4596211669	0.078467624	0.5267965248	0.0462457321	0.0064746711	0.4740600638	0.488120648	0.5171824638	0.3767747324	0.8100419225	0.3707684489	0.1534438129	1.0829644041	0.4009055749	0	0.0411703611	1.0678484558	0.2943267689	1.0009506235	0.9708355746	1.2879975975	0.0943333302	0.0126635711	0.4296605682	0.0250724315	0.0419379528	0.5152488429
Chloroflexi	0.4631085101	0.5710494257	0.4281627018	0.9123633746	0.1718357474	0.3708394549	0.2575773249	0.4345738295	0.6131884297	0.1783817106	0.8189405097	0.5173412264	0.3050731155	0.4269096034	0.6850454271	0.8710801394	0.1725617904	0.1706960606	0.4841172308	0.1502629602	0.1353151803	0.2769931163	0.3699210201	0.3443905931	0.3705445853	0.3781567871	0.1152269256	0.9201726911	0.5174121142	0.3920098863	0.2718626684	0.520946978	0.2817496654	0.7422463237	0.2285813718	0.558530214	0.7618693673	0.7442724807	0.0656054977	0.4584756454	0.2282607302	0.1380423091	0.5429749979	0.560912758	0.5791881133	0.098182952	0.6688652035	0.1841553469	0.3899290105	0.5352010308	0.2435190317	0.7343720545	0.4483909813	0.5845401405	0.0399192223	0	0.5703216581	0.3531489111	0.1484123619	0.3656048401	0.6479272774	0.9461786868	0.5041659496	0.1913320148	0.4556365104	0.4614733693	0.1152491453	1.1433213303	0.7995381224	0.4423757146	0.2410599043	0.2434995759	0.7865290241	0.266858805	0.799070894	0.1131968682	0	0.3228130585	0.4072381514	0.038030987	0.6103162621	0.3843984099	0.3670459475	0.3820976302	1.2209793162	0.0409676356	0.1810786717	0.3313098271	0.6413926274
Armatimonadetes	0.8669681507	0.0576487992	0.1500570217	1.2631716735	0.245613052	0.1965651755	0.2296472535	0.9363745498	0.4953541782	0.0222977138	0.1584326327	0.2573836947	0.7038008957	0.4657195674	0.2182997568	0.1219512195	0.212383742	0.1160286948	0.2085428071	0.2694000215	0.0652288561	0.6280338974	0.0047578266	0.1944452506	0.4118228682	0.4318660119	0.1688208445	0.3013629053	0.2954282885	0.5844695205	0.3018675783	0.7609644338	0.073254913	0.2649704171	0.0632751202	0.5917245162	0.4882983885	0.0046927647	0.0811868035	0.0323086864	0.0397532732	0.1577626389	0.8670763532	0.5172052704	0.4236464292	0.0968561553	1.2477902637	0.1449539612	0.082090318	0.183906527	0.1799133145	0.2483423354	0.7616772564	0.2418159835	0.3240501573	0	0.0681725597	0.349351611	0.0137187898	0.1391657133	0.4351750371	0.1959095802	0.2662563147	0.8093989165	0.2315355694	0.0147592762	0.0025898684	0.3237187648	0.1539592008	0.3066153178	0.0379621897	0.1306781057	0.2132960065	0.1374322846	0.3523853011	0.4348646354	1.6447368421	0.3892470502	0.217439375	0.5737718471	0.4872943977	0.2407409837	0.6017329018	0.4564208601	0.033769523	0.8103598157	0.0278582572	0.0178236299	0.1824233191
Chlamydiae	0.0096732848	0.0043508528	0.1440547408	0.0301066824	0.4986972235	0.0202644511	0.7096307024	0.0048019208	0.5321304733	0.0157395627	0.2621948498	0.2458014285	0.0714000909	0.3104797116	0.9802698601	0	0.0061945258	0.3201945712	0.380776822	0.143823119	0.0340022761	0.1974604393	0.0047578266	0.132532335	0.1631932112	0.4713258506	0.0187578716	0.3276051807	0.2500412609	0.2268997792	0.3055045371	0.1295548767	0.004226245	0.2361692848	0.1763793976	0.05484276	0.2054363199	0.0159554	0.0459238484	0.0138465799	0.0346238186	0.385442811	0.3002497404	0.1374964715	0.5935143211	0.0145947631	0.049622148	0.0446713465	0.1781733039	0.2764104089	0.009086531	0.5360260309	0.356363138	0.3127244298	0.0109582179	0	0.2327843502	0.1215136038	0.0024943254	2.0745126252	0.6232136333	0.7082884822	0.4808811768	1.2081864305	0.2761433396	0.0413259734	0.0207189475	0.0036372895	0.3341614472	0.3380156817	0.0284716422	0.0698032118	0.1066480033	0.5523977264	0.4447003236	1.0734836336	0	0.227372676	0.383282966	0.0057873241	0.6534537989	0.2774753027	0.2569321632	0.0019057238	0.0031658928	0.0199842125	0.4726617636	0.2254164963	0.2590799266
Fusobacteria	0.0012091606	0	0.1320501791	0.0078539171	0.1765051971	0.0050661128	0.0010344471	0	0.2837028475	0.0039348907	0.3068237604	0.0270252879	0.0055636434	0.4023980472	0.6060417056	0	0	0.0557830263	0.2541615462	0.197488462	0.009021012	0.189232921	0.0356836997	0.1538148997	0.1526336504	0.0723430375	0.001786464	0.0042326251	0.2566430104	0.3869451591	0.3273262898	0.1295548767	0.0408537015	0.2583873012	0.1747975196	0.0028864611	0.1496897808	0.0009385529	0.0016401374	0	0.0128236365	0.0618501255	0.3311165362	0.1939519764	1.0089743459	0	0.049622148	0.0018233203	0.4207128798	0.1277434559	0.0027259593	0.202444082	0.3318876477	0.2999972728	0.0039136492	0	0.0573647149	0.128158879	0.0012471627	0.0601478931	0.3599595986	0.1377825619	0.2227239135	0.0128987875	0.4237738174	0.003935807	0	0	0.0586094685	0.4109753507	0	0.0194799661	0.0341606885	0.0080057642	1.8165214111	0.2895953212	0	0.0037427601	0.1446524655	0.0016535212	0.4753117486	0.230245464	0.5416708376	0.0019057238	0	0.0029976319	0	0.0041937953	0.450236277
TM6	0.0012091606	0.0010877132	0.0010003801	0.075921199	0.0224133584	0.0020264451	0.0299989656	0	0.0517870277	0	0.0992993261	0.1377002767	0.0046363695	0.0929396505	0.0706875403	0	0.0017698645	0.1918936106	0.0530666965	0.0032199206	0.8743442418	0.0621634716	0	0.0270869006	0.1708728917	0.1983952999	0.000893232	0.0203166004	0.1064532101	0.3028706874	0.1445691113	0.0354571242	0.0014087483	0.0773516125	0.0332194381	0.0259781495	0.0103234332	0.0056313176	0.3304876949	0.0138465799	0.0692476372	0.1523843672	0.0392850128	0.0628295135	0.7009608792	0	0.012405537	0	0.0093284452	0.2037287874	0.0009086531	0.3016170938	0.2379017652	0.2881791984	0.0273955447	0	0.1745882627	0.1158176536	0.0024943254	0.036560484	0.8176992672	0.2637244349	0.4383611569	0.0591194428	0.3674830597	0.0354222629	0.0233088159	0.0024248597	0.1574582736	0.1200602148	0.0009490547	0.3068094656	0.0799860024	0.0907319937	0.3057314725	0.7603056315	0	0.0065498302	0.0368541313	0.0446450717	0.6734248808	0.2197499442	0.1445938581	0	0.0042211904	0.0819352711	0.0092860857	0.0041937953	0.0747159339
Gemmatimonadetes	0.5271940219	0.0021754264	0.2971129029	0.0052359448	0.41091157	0.0597801307	0.1148236268	0.4549819928	0.0705504436	0.209860836	0.3057080377	0.1338395213	0.0250363955	0.1031527989	0.2203788021	0	0.1468987549	0.2945343791	0.1703720255	0.2618868735	0.0326144281	0.125241112	0.0071367399	0.119956274	0.0268788818	0.8144072255	0.1295186373	0.0279353255	0.0693183694	0.0820485809	0.2964121402	0.3095679686	0.0056349933	0.0304469113	0.3314034422	0.0317510716	0.0567788824	0.0206481647	0.0213217868	0	0.0179530911	0.2240946576	0.0729578809	0.1547973521	0.3857843087	0.0338333145	0.3235777569	0.1066642356	0.2761219787	0.1354521127	0.0272595931	0.1344163136	0.3289505889	0.0363633058	0.0023481895	0	0.0448941247	0.1006284532	0.0636052979	0.3667842106	0.1601014334	0.0764262648	0.2115877178	0.0365465646	0.0520423986	0.0432938769	0.0103594737	0.0036372895	0.0936001959	0.0544888667	0.0455546276	0.0519465762	0.0674881896	0.0560403491	0.3077167418	0.0198094519	0	0.2339225062	0.0368541313	0.0008267606	0.1909235427	0.1082350472	0.0800827522	0.1591279408	0.0126635711	0.0039968425	0.1374340688	0.0031453465	0.1096480588
Nitrospirae	0.0048366424	0.0065262792	0.1990756487	0.08246613	0.27362975	0.0668726886	0.0051722354	0.0084033613	0.0630450772	0.0065581511	0.0278930691	0.0617720867	0.0593455301	0.0337033897	0.041580906	0	0.0973425484	1.1167761873	0.0158269095	0.0611784909	0.004857468	0.0173692053	0.1700923018	0.4217817376	0.0163193211	0.1118028762	0.047341295	0.1286718023	0.0973758046	0.0850874172	0.0072739176	0.0477307441	1.1424948933	0.0353842482	0.0174006581	0.2395762675	0.0547141958	0.0075084235	0.0008200687	0.0107695621	0.0346238186	0.0717102904	0.3830288745	0.0582766502	0.1268892686	0.0033169916	0.0031013843	0.0009116601	0.5736993815	0.5352010308	0.0081778779	0.0319648551	0.1713284317	0.3154516777	0.0039136492	0	0.002494118	0.0417703013	0	0.1993136064	0.113897664	0.0096878364	0.0465695455	0.0236477771	0.5629075769	1.3017681613	0.0025898684	0.0048497193	0.0857272823	0.1560782793	0.0009490547	0.006493322	0.0599895018	0.0360259387	0.4853983443	0.3952457315	0	0.2750928672	0.0055281197	0.0049605635	0.1837339532	0.0341104391	0.1312467327	0.0057171715	0	0.0009992106	0.0269296486	0.0010484488	0.0155253889
Tenericutes	0.2345771565	0.4796815176	0.0170064625	0.0170168205	0.0149422389	0.4154212473	0.0279300714	0.1488595438	0.1073267386	0.0236093441	0.0044628911	0.0501898205	0.4339641887	0.2992452483	0.0228694983	0.0871080139	0.1070768033	0.0133879263	0.0567906752	0.0064398412	0.023593416	0.3546974559	0.0951565325	0.0212825647	0.1075155274	0.0580936514	0.0160781757	0.002539575	0.1922759531	0.0232977452	0.0081831572	0.0109098844	0.1028386279	0.0962780708	0.0537838522	0.0057729221	0.2250508429	0.0159554	0.0713459788	0.0015385089	0.0436003642	0.0161348153	0.2399191851	0.3369118839	0.0173961094	0.024545738	0.0062027685	0.0328197648	0.1110084982	0.0044049468	0.2353411538	0.0647493218	0.0244754902	0.163634876	0.2058579502	0	0.0066509814	0.2933414342	0.0374148811	0.0247667795	0.0032235188	0.0172228202	0.0050619071	0.0300971709	0.1285128619	0.0186950832	0.0051797369	0.1491288692	0.051611323	0.2013317448	0.0151848759	0.0284082839	0.033327501	0.0240172925	0.0268011356	0.1811149892	0	0.0149710404	0.0820004422	0.2885394447	0.0135803357	0.4014536295	0.5583547443	0.2077238987	0.0073870832	0.2398105497	0.0009286086	0.0702460709	0.0339617881
Acidobacteria	0.006045803	0.005438566	0.0880334527	0.0575953924	0.2129269044	0.0070925579	0.1582704045	0.0036014406	0.1005719089	0.0249209743	0.4239746508	0.0836497008	0.0074181913	0.0612788904	0.2671573214	0.9059233449	0.0415918161	0.0490890632	0.2159907645	0.1255769024	0.0915979682	0.0265108923	0.0011894567	0.0744889766	0.1199950082	0.2203174325	0.0250104955	0.0237027004	0.0668427133	0.0546990539	0.2936844211	0.1131900502	0.0028174967	0.1793899097	0.1123133384	0.0865938316	0.0536818524	0.0112626353	0.0319826801	0.0061540355	0.0256472731	0.0986016493	0.0336728681	0.0437074876	0.1268892686	0.024545738	0.4579710744	0.0656395296	0.0298510247	0.1321484027	0.0136297966	0.0778631085	0.2848947064	0.0609085372	0.0172200567	0	0.0315921618	0.0417703013	0.0024943254	0.1533181588	0.0805879698	0.0850376749	0.1103495753	0.0623441397	0.0350489623	0.0186950832	0.0168341448	0.0024248597	0.1574582736	0.0840421504	0.1043960216	0.0600632287	0.0658218145	0.0707175833	0.2868714141	0.0113196868	0.4934210526	0.0074855202	0.0451463109	0.0173619723	0.0990565661	0.0695328182	0.0778582313	0.0209629623	0.0010552976	0.0149881594	0.01300052	0.0020968976	0.4298592041
