sample,site,date
CSNA,ME_epi,6/26/2008
CXSP,ME_epi,7/9/2008
CSCX,ME_epi,7/18/2008
CSNB,ME_epi,7/19/2008
CXPP,ME_epi,7/21/2008
CSGH,ME_epi,7/23/2008
CXSC,ME_epi,7/30/2008
CXSH,ME_epi,8/5/2008
CSGT,ME_epi,8/13/2008
CXON,ME_epi,8/20/2008
CSHY,ME_epi,8/27/2008
CSGW,ME_epi,9/12/2008
CXPY,ME_epi,9/13/2008
CSCW,ME_epi,9/25/2008
CSGY,ME_epi,10/8/2008
CXSN,ME_epi,10/17/2008
PTXY,ME_epi,4/22/2009
PTXW,ME_epi,4/29/2009
PTXS,ME_epi,6/9/2009
PTZH,ME_epi,6/18/2009
PTZG,ME_epi,6/26/2009
PTZC,ME_epi,7/7/2009
PTZB,ME_epi,7/30/2009
PUAA,ME_epi,8/10/2009
PUAC,ME_epi,8/26/2009
PUAH,ME_epi,9/13/2009
PUBT,ME_epi,9/14/2009
PUBB,ME_epi,9/27/2009
PUBO,ME_epi,10/7/2009
PUBU,ME_epi,10/26/2009
PUBC,ME_epi,11/14/2009
PUBA,ME_epi,4/20/2010
CXOT,ME_epi,5/5/2010
PUBH,ME_epi,5/18/2010
CXPU,ME_epi,5/20/2010
PUAP,ME_epi,6/2/2010
CXSG,ME_epi,6/13/2010
PTZZ,ME_epi,6/15/2010
PUAG,ME_epi,6/21/2010
PTYC,ME_epi,7/6/2010
PTWY,ME_epi,7/15/2010
CSNS,ME_epi,7/16/2010
PTXB,ME_epi,7/27/2010
PTZP,ME_epi,8/5/2010
PTYH,ME_epi,8/17/2010
PTYN,ME_epi,8/30/2010
CSGO,ME_epi,8/31/2010
PTYS,ME_epi,9/14/2010
PTZS,ME_epi,9/26/2010
PUAO,ME_epi,10/13/2010
PUAN,ME_epi,10/29/2010
PUAU,ME_epi,11/19/2010
PUAS,ME_epi,5/3/2011
PUBS,ME_epi,5/18/2011
PTWZ,ME_epi,6/1/2011
PTXA,ME_epi,6/13/2011
PTYA,ME_epi,6/28/2011
PTYB,ME_epi,7/12/2011
PTYG,ME_epi,7/25/2011
PTYP,ME_epi,8/9/2011
PTZO,ME_epi,8/22/2011
PTZX,ME_epi,9/4/2011
PTZT,ME_epi,9/21/2011
PTZW,ME_epi,10/3/2011
PUAT,ME_epi,11/1/2011
PUAZ,ME_epi,11/30/2011
