sample	reads	bps	layer	date	year	day	month	JGI Portal ID
CSNA	6987389	1476617251	Epilimnion	06/26/08	2008	26	06	LakMenEpi26Jun08
CXSP	6195624	1311610866	Epilimnion	07/09/08	2008	09	07	LakMenEpi09Jul08
CSCX	3997360	856300613	Epilimnion	07/18/08	2008	18	07	LakMenEpi18Jul08
CSNB	2968365	638047503	Epilimnion	07/19/08	2008	19	07	LakMenEpi19Jul08
CXPP	6348822	1400572418	Epilimnion	07/21/08	2008	21	07	LakMenEpi21Jul08
CSGH	3374669	721146998	Epilimnion	07/23/08	2008	23	07	LakMenEpi23Jul08
CXSC	4562732	974333512	Epilimnion	07/30/08	2008	30	07	LakMenEpi30Jul08
CXSH	2353829	529146904	Epilimnion	08/05/08	2008	05	08	LakMenEpi05Aug08
CSGT	2927184	645655289	Epilimnion	08/13/08	2008	13	08	LakMenEpi13Aug08
CXON	3116783	663750153	Epilimnion	08/20/08	2008	20	08	LakMenEpi20Aug08
CSHY	5368066	1175959009	Epilimnion	08/27/08	2008	27	08	LakMenEpi27Aug08
CSGW	7654970	1618303244	Epilimnion	09/12/08	2008	12	09	LakMenEpi12Sep08
CXPY	2341529	515614103	Epilimnion	09/13/08	2008	13	09	LakMenEpi13Sep08
CSCW	2931122	653414814	Epilimnion	09/25/08	2008	25	09	LakMenEpi25Sep08
CSGY	2846719	600397505	Epilimnion	10/08/08	2008	08	10	LakMenEpi08Oct08
CXSN	3237545	697264060	Epilimnion	10/17/08	2008	17	10	LakMenEpi17Oct08
PTXY	12610660	2757445511	Epilimnion	04/22/09	2009	22	04	LakMenE22Apr09ns
PTXW	11441897	2538187168	Epilimnion	04/29/09	2009	29	04	LakMenE29Apr09ns
PTXS	8757396	1996833903	Epilimnion	06/09/09	2009	09	06	LakMenE09Jun09ns
PTZH	8847525	2022301649	Epilimnion	06/18/09	2009	18	06	LakMenEpi18Jun09
PTZG	11849763	2593338192	Epilimnion	06/26/09	2009	26	06	LakMenEpi26Jun09
PTZC	10053315	2230923043	Epilimnion	07/07/09	2009	07	07	LakMenEpi07Jul09
PTZB	11339644	2516613371	Epilimnion	07/30/09	2009	30	07	LakMenEpi30Jul09
PUAA	9337325	2099785853	Epilimnion	08/10/09	2009	10	08	LakMenEpi10Aug09
PUAC	8519928	1896208021	Epilimnion	08/26/09	2009	26	08	LakMenEpi26Aug09
PUAH	10440560	2315618862	Epilimnion	09/13/09	2009	13	09	LakMenEpi13Sep09
PUBT	5169490	1088238917	Epilimnion	09/14/09	2009	14	09	LakMenEpi14Sep09
PUBB	5326418	1141014601	Epilimnion	09/27/09	2009	27	09	LakMenEpi27Sep09
PUBO	5464846	1169816285	Epilimnion	10/07/09	2009	07	10	LakMenE07Oct09ns
PUBU	6649835	1402340159	Epilimnion	10/26/09	2009	26	10	LakMenEpi26Oct09
PUBC	6109357	1296218646	Epilimnion	11/14/09	2009	14	11	LakMenEpi14Nov09
PUBA	5462455	1137929295	Epilimnion	04/20/10	2010	20	04	LakMenEpi20Apr10
CXOT	7055688	1510446822	Epilimnion	05/05/10	2010	05	05	LakMenEpi05May10
PUBH	4938892	1053678576	Epilimnion	05/18/10	2010	18	05	LakMenE18May10ns
CXPU	11876337	2640641775	Epilimnion	05/20/10	2010	20	05	LakMenEpi20May10
PUAP	5907154	1253039636	Epilimnion	06/02/10	2010	02	06	LakMenEpi02Jun10
CXSG	3180351	710478996	Epilimnion	06/13/10	2010	13	06	LakMenEpi13Jun10
PTZZ	4217928	911610122	Epilimnion	06/15/10	2010	15	06	LakMenEpi15Jun10
PUAG	4938724	1049509601	Epilimnion	06/21/10	2010	21	06	LakMenEpi21Jun10
PTYC	6382642	1320329436	Epilimnion	07/06/10	2010	06	07	LakMenEpi06Jul10
PTWY	5764558	1206185631	Epilimnion	07/15/10	2010	15	07	LakMenEpi15Jul10
CSNS	1440833	325661754	Epilimnion	07/16/10	2010	16	07	LakMenEpi16Jul10
PTXB	7754310	1625483225	Epilimnion	07/27/10	2010	27	07	LakMenE27Jul10ns
PTZP	6633255	1385102397	Epilimnion	08/05/10	2010	05	08	LakMenEpi05Aug10
