"","Verrucomicrobiales_2582580521","Verrucomicrobia_2582580523","Puniceicoccales_2582580524","Opitutae_2582580546","Verrucomicrobia_2582580559","Verrucomicrobiales_2582580573","Verrucomicrobiales_2582580593","Spartobacteria_2582580607"
"COG0001",0,1,1,0,1,1,3,0
"COG0002",0,0,1,1,1,0,1,1
"COG0003",1,0,0,0,0,0,0,0
"COG0004",2,2,2,0,0,1,1,2
"COG0005",1,2,0,0,2,1,2,2
"COG0006",1,0,1,0,0,1,1,1
"COG0007",0,1,1,0,1,0,0,1
"COG0008",2,0,0,0,1,2,1,1
"COG0009",0,1,1,1,1,1,0,1
"COG0010",0,0,0,0,1,0,0,0
"COG0011",0,0,0,0,0,0,0,0
"COG0012",1,1,1,0,1,1,0,1
"COG0013",1,0,0,0,0,0,0,0
"COG0014",0,1,1,0,1,0,0,1
"COG0015",0,1,2,0,0,1,1,1
"COG0016",1,1,0,0,1,0,1,1
"COG0017",0,1,0,0,0,0,0,0
"COG0018",1,1,0,1,1,2,1,1
"COG0019",1,0,2,2,1,2,1,1
"COG0020",2,1,1,0,1,1,1,1
"COG0021",0,0,0,1,0,1,1,0
"COG0022",0,2,1,1,1,2,2,4
"COG0023",0,0,0,0,0,0,0,1
"COG0024",0,1,1,0,1,1,0,1
"COG0025",0,0,0,0,0,0,0,0
"COG0026",0,1,1,0,0,1,0,1
"COG0027",0,0,0,0,0,0,1,0
"COG0028",1,1,0,1,1,0,1,1
"COG0029",0,1,1,2,1,1,1,1
"COG0030",1,0,1,1,0,1,1,1
"COG0031",1,0,0,1,1,1,1,1
"COG0033",0,0,0,0,0,0,0,0
"COG0034",0,0,0,1,0,1,1,2
"COG0035",0,0,0,0,0,0,1,1
"COG0036",1,1,0,1,1,1,0,1
"COG0037",0,0,1,1,0,1,0,1
"COG0038",1,0,1,1,0,0,0,0
"COG0039",0,1,1,0,0,1,0,1
"COG0040",0,1,1,1,0,2,1,1
"COG0041",0,1,1,1,1,1,0,1
"COG0042",2,0,2,2,0,2,1,2
"COG0043",0,0,0,0,0,0,0,1
"COG0044",1,1,2,1,0,1,1,1
"COG0045",0,1,1,1,0,1,1,1
"COG0046",0,1,0,0,0,1,1,1
"COG0047",0,0,0,0,0,0,0,1
"COG0048",1,1,0,0,2,1,0,0
