	TBE07Jun07	TBE13Jun07	TBE27Jun07	TBE02Jul07	TBE12Jul07	TBE25Jul07	TBE31Jul07	TBE09Aug07	TBE20Aug07	TBE27Aug07	TBE17Sep07	TBE01Oct07	TBE16Oct07	TBE05Nov07	TBE14Nov07	TBE30Apr08	TBE22May08	TBE29May08	TBE13Jun08	TBE24Jun08	TBE01Jul08	TBE08Jul08	TBE15Jul08	TBE22Jul08	TBE29Jul08	TBE05Aug08	TBE12Aug08	TBE19Aug08	TBE25Aug08	TBE09Sep08	TBE20Sep08	TBE04Oct08	TBE23Oct08	TBE29May09	TBE03Jun09	TBE08Jun09	TBE23Jun09	TBE29Jun09	TBE07Jul09	TBE13Jul09	TBE21Jul09	TBE27Jul09	TBE03Aug09	TBE11Aug09	TBE18Aug09
TE00031|TBL_comb48_EPIDRAFT_1002675	12.9544	3.41948	6.06683	8.58496	10.1011	1.51109	1.62611	9.0214	13.8736	10.4958	39.3266	1.12041	9.16633	27.1774	135.444	12.6292	3.57399	1.54689	10.8539	22.2439	21.7738	2.07347	36.5926	0.857731	34.7202	4.8825	7.80146	30.3593	58.7903	29.8093	23.3557	9.60486	63.7901	26.5858	21.6777	0.375042	11.963	8.90061	7.18412	5.72345	7.66275	4.5669	9.80015	16.1189	11.4646
TE00031|TBL_comb48_EPIDRAFT_1002902	13.855	3.48575	4.91934	8.16755	9.81416	1.53982	1.75699	9.85617	14.6597	12.7409	39.5393	1.1994	10.0002	31.9984	159.917	14.9822	2.98822	1.44108	13.2173	25.2162	25.1763	2.03391	41.3511	1.15189	37.1757	4.97381	9.36012	36.1086	72.1395	33.1906	26.6678	9.72266	66.1968	22.115	19.1934	0.305934	10.665	8.85973	7.31404	4.9585	7.37821	5.13861	9.79729	15.7104	10.8561
TE00031|TBL_comb48_EPIDRAFT_1003765	13.0578	3.30481	4.49599	7.09453	9.89945	1.80129	1.88891	9.82173	15.8037	12.5556	46.0629	1.6622	11.225	34.447	169.318	15.4012	2.86067	1.37257	12.6379	24.9659	25.2329	1.76655	44.6469	1.07556	44.1261	5.54546	9.86937	37.8265	75.6269	37.546	30.2038	10.3322	70.5598	27.6298	23.0536	0.459163	12.4458	10.2367	7.68682	5.94187	8.94273	5.63357	10.8354	18.3326	12.4294
TE00031|TBL_comb48_EPIDRAFT_1004486	12.0078	3.18024	4.85356	7.35404	10.7291	1.80794	1.66686	10.1235	14.5367	12.7504	45.7378	1.65868	12.4242	32.6045	172.548	15.6029	2.59995	1.50288	12.949	26.3829	25.3201	2.31211	46.9513	0.987979	41.9046	4.98952	9.82323	38.1618	73.0236	37.0349	28.0875	10.2319	71.488	27.4515	22.9315	0.193819	12.5739	9.23141	6.41815	6.75297	9.33322	5.94964	11.9352	19.7652	13.9073
TE00031|TBL_comb48_EPIDRAFT_1004630	16.1815	4.22063	5.98287	10.417	11.3686	1.44466	1.8616	12.6006	19.0036	16.1786	48.5683	1.87858	12.8126	40.436	198.872	20.0948	3.97659	1.68872	14.7988	31.2381	28.5386	3.10775	51.6131	1.29474	45.1844	5.88515	10.8256	42.5205	84.6197	42.0245	32.8081	11.2179	81.0097	33.4379	28.3056	0.296596	14.8719	9.85809	8.79486	7.05533	9.41892	6.50096	14.196	18.9665	12.8383
TE00031|TBL_comb48_EPIDRAFT_1004834	13.1266	4.0057	5.54018	8.46306	9.72392	2.12788	1.87509	9.55964	16.4637	12.835	42.1803	1.30553	11.3059	32.6216	170.582	16.0484	3.3932	1.39543	12.5326	26.0304	26.239	2.17609	41.9984	0.701785	41.0671	5.42247	9.65854	37.8274	73.8512	35.3832	28.9738	9.31376	71.2211	27.3793	20.6632	0.333623	11.6262	8.87509	7.56817	6.12599	7.61813	5.20106	11.6706	18.6911	12.3382
TE00031|TBL_comb48_EPIDRAFT_1005216	12.7289	4.403	6.10205	8.41162	10.4471	1.87173	1.48706	9.64803	16.35	14.2705	42.9238	1.63741	11.6874	37.6221	169.965	16.7948	3.45535	1.69892	12.8864	27.0121	25.1838	1.98645	43.8915	0.745213	42.8506	5.23038	11.1397	37.7524	73.7867	36.6712	26.5174	10.2095	73.3281	27.8969	22.5735	0.293519	13.5604	10.3744	7.83679	6.50801	9.15706	5.86816	11.4718	16.3141	12.8265
TE00031|TBL_comb48_EPIDRAFT_1005498	13.8827	3.51012	5.41687	8.17939	10.7	1.98706	1.54027	11.1029	16.2051	13.6501	48.4977	1.10202	11.9865	33.8366	174.204	16.9755	3.21085	1.79317	13.97	25.7358	25.199	1.7834	45.189	0.935527	41.3753	5.31927	10.6907	39.8025	72.08	40.235	29.3676	10.2117	70.5041	27.4001	23.4584	0.288685	13.0726	9.08994	8.041	6.15759	6.53638	6.15644	12.0506	15.4006	11.4179
TE00031|TBL_comb48_EPIDRAFT_1005966	13.4618	3.8825	5.22377	9.28559	10.9491	1.75569	1.66338	10.331	16.4209	12.5299	48.8619	1.65075	12.3	34.2194	173.03	15.9519	3.82343	1.51861	13.0037	26.4783	25.249	2.4408	46.3081	1.20761	43.6968	6.15611	10.4327	41.0096	77.2006	40.2933	29.6445	10.3276	71.9761	31.2569	24.4892	0.424151	14.7796	9.59734	9.24195	7.08752	9.48592	5.77895	12.7041	17.1196	13.1145
TE00031|TBL_comb48_EPIDRAFT_1006038	13.9219	4.03477	5.6379	8.15924	10.3102	1.92487	1.91819	9.28861	15.2439	13.2897	42.5254	1.36902	10.4649	33.1753	170.577	16.3844	2.77811	1.20748	13.9045	25.4665	25.7769	2.16943	47.7869	1.16054	38.8221	5.47601	10.2966	36.7212	77.267	37.9513	26.9759	11.0887	68.3391	26.7319	22.2213	0.434801	12.8546	10.32	7.50007	6.70693	8.74744	5.93335	11.9353	16.9449	12.4443
