sample	reads	bps	layer	date	year	month	day	note	timepoint
IHUW	6638796	1392397152	Epilimnion	6/7/2007	2007	6	7		A
IHUT	3102335	650250531	Epilimnion	6/13/2007	2007	6	13		A
IHWC	9804658	2107877895	Epilimnion	6/27/2007	2007	6	27		A
IHUX	10515386	2242579403	Epilimnion	7/2/2007	2007	7	2		A
IHUY	10740970	2277457362	Epilimnion	7/12/2007	2007	7	12		A
IHWZ	4484120	975139801	Epilimnion	7/25/2007	2007	7	25		B
IHPZ	3703616	832073241	Epilimnion	7/31/2007	2007	7	31		B
IHSH	6320628	1394408859	Epilimnion	8/9/2007	2007	8	9		B
IHSG	7133513	1456723924	Epilimnion	8/20/2007	2007	8	20		B
IHSF	6011592	1311053510	Epilimnion	8/27/2007	2007	8	27		C
IHSC	14959994	3185124608	Epilimnion	9/17/2007	2007	9	17	IHSC1 and IHSC2 combined	C
IHTY	8594071	1833278169	Epilimnion	10/1/2007	2007	10	1		C
IHTW	8037527	1676338976	Epilimnion	10/16/2007	2007	10	16		C
IHTU	5668497	1255020996	Epilimnion	11/5/2007	2007	11	5		C
IHTX	12654254	2685869385	Epilimnion	11/14/2007	2007	11	14		C
IHTP	1183351	260473483	Epilimnion	4/30/2008	2008	4	30		A
IHTS	690898	147265030	Epilimnion	5/22/2008	2008	5	22		A
IHTT	1593632	340015005	Epilimnion	5/29/2008	2008	5	29		A
IHTI	2455241	515243816	Epilimnion	6/13/2008	2008	6	13		A
IHTN	5393395	1112641791	Epilimnion	6/24/2008	2008	6	24		A
IHTO	4337884	922875764	Epilimnion	7/1/2008	2008	7	1		A
IHPI	611509	131273063	Epilimnion	7/8/2008	2008	7	8		A
IHTA	6477913	1435579792	Epilimnion	7/15/2008	2008	7	15		B
IHTB	286129	61746695	Epilimnion	7/22/2008	2008	7	22		B
IHSY	30817664	6963120710	Epilimnion	7/29/2008	2008	7	29		B
IHSZ	7277550	1625625048	Epilimnion	8/5/2008	2008	8	5		B
IHTH	4266471	957146154	Epilimnion	8/12/2008	2008	8	12		B
IHTF	6825155	1490237680	Epilimnion	8/19/2008	2008	8	19		B
IHTG	10264750	2266038417	Epilimnion	8/25/2008	2008	8	25		C
IHSP	7113079	1547698911	Epilimnion	9/9/2008	2008	9	9		C
IHTC	7292233	1575815611	Epilimnion	9/20/2008	2008	9	20		C
IHSX	5396041	1198927313	Epilimnion	10/4/2008	2008	10	4		C
IHSO	9531420	2033383110	Epilimnion	10/23/2008	2008	10	23		C
IHSU	12942806	2826243823	Epilimnion	5/29/2009	2009	5	29		A
IHSW	10167506	2215531542	Epilimnion	6/3/2009	2009	6	3		A
IHSS	642834	136411816	Epilimnion	6/8/2009	2009	6	8		A
IHSN	7505818	1525747667	Epilimnion	6/23/2009	2009	6	23		A
IHSI	4369945	925058464	Epilimnion	6/29/2009	2009	6	29		A
IHPX	6653197	1412402963	Epilimnion	7/7/2009	2009	7	7		A
IHPW	6944310	1478761364	Epilimnion	7/13/2009	2009	7	13		A
IHPT	7798863	1603245261	Epilimnion	7/21/2009	2009	7	21		B
IHPP	2412328	509322211	Epilimnion	7/27/2009	2009	7	27		B
IHPS	7146678	1512055489	Epilimnion	8/3/2009	2009	8	3		B
IHXC	8206195	1750698527	Epilimnion	8/11/2009	2009	8	11		B
IHXB	6754392	1442164299	Epilimnion	8/18/2009	2009	8	18		B
