"V1","V3","annotation"
"rubisco_form_II_III_alignment_sample1","not_significant","rubisco"
"TIGR03153_sample1","not_significant","cytochrome_c_nitrite_reductase"
"TIGR00193_sample1","not_significant","urease"
"TIGR01582_sample1","not_significant","formate_dehydrogenase"
"fcc_interpro_sample1","not_significant","flavocytochrome_sulfide_dehydrogenase"
"TIGR04246_sample1","not_significant","nitrous_oxide_reductase"
"gi.118567952.gb.ABL02757_1.sqr","not_significant","sulfide_quinone_reductase"
"pqq_xoxF_mxaF_alignment_sample1","not_significant","methanol_dehydrogenase"
"TIGR03259_sample1","not_significant","methyl-coenzyme_M_reductase"
"gi.500800570.ref.WP_011998629_1.4_hydroxybutyryl_CoA_dehydratase","not_significant","alt_carbon_fixation"
"TIGR03256_sample1","not_significant","methyl-coenzyme_M_reductase"
"hzsA_alignment_sample1","not_significant","hydrazine-oxidizing_enzyme"
"propionyl_CoA_synthase_alignment_sample1","not_significant","alt_carbon_fixation"
"TIGR02932_sample1","not_significant","nitrogenase_VaFe"
"TIGR01286_sample1","not_significant","nitrogenase_MoFe"
"TIGR04486_sample1","not_significant","thiosulfohydrolase_SoxB"
"TIGR01583_sample1","not_significant","formate_dehydrogenase"
"hzoA_alignment_sample1","not_significant","hydrazine-oxidizing_enzyme"
"TIGR03507_sample1","not_significant","decaheme_c-type_cytochrome"
"Hydrogenase_Vignais_Group_2b_alignment_sample1","not_significant","hydrogenase_group2b"
"gi.118567952.gb","not_significant","sulfide_quinone_reductase"
"TIGR01287_sample1","not_significant","nitrogenase_iron_protein"
"TIGR03478_sample1","not_significant","DMSO_reductase"
"dsrD_PF08679_stockholm_sample1","not_significant","dissimilatory_sulfite_reductase"
"aclB_alignment_sample1","not_significant","citrate_lyase"
"TIGR02694_sample1","not_significant","arsenite_oxidation"
"TIGR00455_sample1","not_significant","adenylyl-sulfate_kinase"
"TIGR02929_sample1","not_significant","Fe-only_nitrogenase"
"TIGR04555_sample1","not_significant","sulfite_dehydrogenase_SoxC"
"TIGR02930_sample1","not_significant","nitrogenase_VaFe"
"nxrB_alignment_sample1","not_significant","nitrite_oxidotreductase"
"TIGR02659_sample1","not_significant","methylamine_dehydrogenase"
"Hydrogenase_Vignais_Group_3b_alignment_sample1","not_significant","hydrogenase_group3b"
"TIGR03148_sample1","not_significant","cytochrome_c_nitrite_reductase"
"TIGR04550_sample1","not_significant","soluble_methane_monooxygenase"
"TIGR03080_sample1","not_significant","methane_ammonia_monooxygenase"
"TIGR02486_sample1","not_significant","reductive_dehalogenase"
"thiosulfate_reductase_phsA_alignment_sample1","not_significant","thiosulfate_reductase"
"TIGR02910_sample1","not_significant","sulfite_reductase"
"TIGR03078_sample1","not_significant","methane_ammonia_monooxygenase"
"TIGR03888_sample1","not_significant","nitrile_hydratase"
"TIGR03312_sample1","not_significant","selenate"
"rubisco_form_III_alignment_sample1","not_significant","rubisco"
"Hydrogenase_Vignais_Group_4_alignment_sample1","not_significant","hydrogenase_group4"
"PF06778_seed_sample1","not_significant","chlorite"
"TIGR00014_sample1","not_significant","arsenate_reductase"
"TIGR04247_sample1","not_significant","nitrous_oxide_reductase"
"TIGR02378_sample1","not_significant","nitrite_reductase"
"TIGR00192_sample1","not_significant","urease"
"TIGR02064_sample1","not_significant","dissimilatory_sulfite_reductase"
"TIGR00782_sample1","not_significant","cbb3_cytochrome_c_oxidase"
"TIGR00203_sample1","not_significant","cytochrome_d_ubiquinol_oxidase"
"TIGR03451_sample1","not_significant","s-hydroxymethylmycothiol_dehydrogenase"
"TIGR01860_sample1","not_significant","nitrogenase_VaFe"
"TIGR02691_sample1","not_significant","arsenate_reductase"
"TIGR02866_sample1","not_significant","cytochrome_oxidase_c"
"TIGR04266_sample1","not_significant","NDMA-dependent_methanol_dehydrogenase"
"aclA_alignment_sample1","not_significant","citrate_lyase"
"TIGR01861_sample1","not_significant","Fe-only_nitrogenase"
"TIGR02819_sample1","not_significant","formaldehyde_dehydroganse"
"TIGR03479_sample1","not_significant","DMSO_reductase"
"coxS_alignment_sample1","not_significant","carbon_monoxide_dehydrogenase"
"TIGR02911_sample1","not_significant","sulfite_reductase"
"sulfur_dioxygenase_sdo_alignment_sample1","not_significant","sulfur_dioxygenase"
"TIGR02658_sample1","not_significant","methylamine_dehydrogenase"
"TIGR01428_sample1","not_significant","haloacid_dehalogenase"
"TIGR00381_sample1","not_significant","carbon_monoxide_dehydrogenase"
"TIGR04105_sample1","not_significant","FeFe_hydrogenase"
"TIGR03315_sample1","not_significant","selenate"
"TIGR03152_sample1","not_significant","formate_dependent_cytochrome_c_nitrite_reductase"
"TIGR03079_sample1","not_significant","methane_ammonia_monooxygenase"
"TIGR02066_sample1","not_significant","dissimilatory_sulfite_reductase"
"TIGR02689_sample1","not_significant","arsenate_reductase"
"NapB_PF03892_full_stockholm_sample1","not_significant","nitrate_reductase_cytochrome_c-type"
"TIGR03126_sample1","not_significant","formaldehyde_activating_enzyme"
"TIGR02847_sample1","not_significant","cytochrome_o_ubiquinol_oxidase"
"Hydrogenase_Vignais_Group_3a_alignment_sample1","not_significant","hydrogenase_group3a"
"TIGR01591_sample1","not_significant","formate_dehydrogenase"
"rubisco_form_IV_alignment_sample1","not_significant","rubisco"
"TIGR00780_sample1","not_significant","cbb3_cytochrome_c_oxidase"
"TIGR00781_sample1","not_significant","cbb3_cytochrome_c_oxidase"
"TIGR04488_sample1","not_significant","thiosulfate_oxidation_carrier_SoxY"
"TIGR03313_sample1","not_significant","selenate_reductase"
"rubisco_form_II_alignment_sample1","not_significant","rubisco"
"TIGR02416_sample1","not_significant","carbon_monoxide_dehydrogenase"
"TIGR02821_sample1","TB_epi","s-formylglutathione_hydrolase"
"TIGR02818_sample1","TB_epi","s-hydroxymethylglutathione_dehydrogenase"
"TIGR01792_sample1","TB_epi","urease"
"rubisco_form_I_alignment_sample1","TB_epi","rubisco"
"TIGR01323_sample1","TB_epi","nitrile_hydratase"
"nxrA_alignment_sample1","TB_epi","nitrite_oxidotreductase"
"TIGR02891_sample1","TB_epi","cytochrome_oxidase_c"
"MmoB_PF02406_full_stockholm_sample1","TB_epi","methane_monooxygenase"
"TIGR02693_sample1","TB_epi","arsenite_oxidation"
"TIGR02882_sample1","TB_epi","cytochrome_aa3_quinol_oxidase"
"TIGR02034_sample1","TB_epi","sulfate_adenylyltransferase"
"TIGR01473_sample1","TB_epi","protoheme_IX_farnesyltransferase"
"malonyl_CoA_reductase_alignment_sample1","TB_epi","malonyl-CoA-reductase"
"TIGR02374_sample1","TB_epi","nitrite_reductase"
"TIGR02912_sample1","TB_hypo","sulfite_reductase"
"TIGR01432_sample1","TB_hypo","cytochrome_aa3_quinol_oxidase"
"norC_alignment_sample1","TB_hypo","nitric_oxide_reductase"
"TIGR00316_sample1","TB_hypo","carbon_monoxide_dehydrogenase"
