index1	index2	LSA	lag	p.valueBound
TE00031|TBL_comb48_EPIDRAFT_1002675	TE00439|TBL_comb48_EPIDRAFT_1000532	0.885483	0	0
TE00031|TBL_comb48_EPIDRAFT_1002675	TE00567|TBL_comb48_EPIDRAFT_1000017	0.910041	0	0
TE00031|TBL_comb48_EPIDRAFT_1002675	TE00788|TBL_comb48_EPIDRAFT_1000823	0.859875	0	0
TE00031|TBL_comb48_EPIDRAFT_1002675	TE01149|TBL_comb48_EPIDRAFT_1000226	0.831548	0	0
TE00031|TBL_comb48_EPIDRAFT_1002675	TE02093|TBL_comb48_EPIDRAFT_1000098	0.904513	0	0
TE00031|TBL_comb48_EPIDRAFT_1002675	TE02094|TBL_comb48_EPIDRAFT_1000008	0.929079	0	0
TE00031|TBL_comb48_EPIDRAFT_1002675	TE02167|TBL_comb48_EPIDRAFT_1000160	0.818039	0	0
TE00031|TBL_comb48_EPIDRAFT_1002675	TE03034|TBL_comb48_EPIDRAFT_1001590	0.82535	0	0
TE00031|TBL_comb48_EPIDRAFT_1002675	TE04467|TBL_comb48_EPIDRAFT_1000001	0.830269	0	0
TE00031|TBL_comb48_EPIDRAFT_1002675	TE00424|TBL_comb48_EPIDRAFT_1006648	0.848351	0	0
TE00037|TBL_comb48_EPIDRAFT_1001439	TE00316|TBL_comb48_EPIDRAFT_1001362	0.77686	0	0
TE00037|TBL_comb48_EPIDRAFT_1001439	TE01295|TBL_comb48_EPIDRAFT_1000792	0.830031	0	0
TE00149|TBL_comb48_EPIDRAFT_1000526	TE01301|TBL_comb48_EPIDRAFT_1000011	0.93033	0	0
TE00149|TBL_comb48_EPIDRAFT_1000526	TE01588|TBL_comb48_EPIDRAFT_1000370	0.750984	0	0.000403881
TE00149|TBL_comb48_EPIDRAFT_1000526	TE04180|TBL_comb48_EPIDRAFT_1002466	0.842452	0	0
TE00316|TBL_comb48_EPIDRAFT_1001362	TE01295|TBL_comb48_EPIDRAFT_1000792	0.777577	0	0
TE00316|TBL_comb48_EPIDRAFT_1001362	TE01588|TBL_comb48_EPIDRAFT_1000370	0.821753	0	0
TE00316|TBL_comb48_EPIDRAFT_1001362	TE04180|TBL_comb48_EPIDRAFT_1002466	0.831808	0	0
TE00316|TBL_comb48_EPIDRAFT_1001362	TE04806|TBL_comb48_EPIDRAFT_1002050	0.753765	0	0.000403881
TE00316|TBL_comb48_EPIDRAFT_1001362	TE04807|TBL_comb48_EPIDRAFT_1023593	0.759601	0	0
TE00424|TBL_comb48_EPIDRAFT_1000320	TE00424|TBL_comb48_EPIDRAFT_1006648	0.871237	0	0
TE00439|TBL_comb48_EPIDRAFT_1000532	TE00567|TBL_comb48_EPIDRAFT_1000017	0.841062	0	0
TE00439|TBL_comb48_EPIDRAFT_1000532	TE00788|TBL_comb48_EPIDRAFT_1000823	0.819823	0	0
TE00439|TBL_comb48_EPIDRAFT_1000532	TE01196|TBL_comb48_EPIDRAFT_1000299	0.764361	0	0
TE00439|TBL_comb48_EPIDRAFT_1000532	TE02093|TBL_comb48_EPIDRAFT_1000098	0.784057	0	0
TE00439|TBL_comb48_EPIDRAFT_1000532	TE02094|TBL_comb48_EPIDRAFT_1000008	0.844012	0	0
TE00439|TBL_comb48_EPIDRAFT_1000532	TE00424|TBL_comb48_EPIDRAFT_1006648	0.755338	0	0
TE00507|TBL_comb48_EPIDRAFT_1001296	TE02973|TBL_comb48_EPIDRAFT_1000033	0.774839	0	0
TE00507|TBL_comb48_EPIDRAFT_1001296	TE03207|TBL_comb48_EPIDRAFT_1000145	0.819209	0	0
TE00507|TBL_comb48_EPIDRAFT_1001296	TE03232|TBL_comb48_EPIDRAFT_1000147	0.75281	0	0.000403881
TE00507|TBL_comb48_EPIDRAFT_1001296	TE04702|TBL_comb48_EPIDRAFT_1002167	0.756431	0	0
TE00507|TBL_comb48_EPIDRAFT_1001296	TE04208|TBL_comb48_EPIDRAFT_1015256	0.753103	0	0.000403881
TE00567|TBL_comb48_EPIDRAFT_1000017	TE00788|TBL_comb48_EPIDRAFT_1000823	0.921592	0	0
TE00567|TBL_comb48_EPIDRAFT_1000017	TE01149|TBL_comb48_EPIDRAFT_1000226	0.907031	0	0
TE00567|TBL_comb48_EPIDRAFT_1000017	TE02093|TBL_comb48_EPIDRAFT_1000098	0.862993	0	0
TE00567|TBL_comb48_EPIDRAFT_1000017	TE02094|TBL_comb48_EPIDRAFT_1000008	0.919426	0	0
TE00567|TBL_comb48_EPIDRAFT_1000017	TE02167|TBL_comb48_EPIDRAFT_1000160	0.897752	0	0
TE00567|TBL_comb48_EPIDRAFT_1000017	TE03034|TBL_comb48_EPIDRAFT_1001590	0.91607	0	0
TE00567|TBL_comb48_EPIDRAFT_1000017	TE04467|TBL_comb48_EPIDRAFT_1000001	0.80614	0	0
TE00625|TBL_comb48_EPIDRAFT_1000879	TE00788|TBL_comb48_EPIDRAFT_1000823	0.794148	0	0
TE00625|TBL_comb48_EPIDRAFT_1000879	TE05453|TBL_comb48_EPIDRAFT_1003811	0.776419	0	0
TE00730|TBL_comb48_EPIDRAFT_1000060	TE00755|TBL_comb48_EPIDRAFT_1000083	0.950504	0	0
TE00730|TBL_comb48_EPIDRAFT_1000060	TE02366|TBL_comb48_EPIDRAFT_1000007	0.883325	0	0
TE00730|TBL_comb48_EPIDRAFT_1000060	TE03256|TBL_comb48_EPIDRAFT_1000108	0.85504	0	0
