"","x"
"1","hydrogen oxidation II (aerobic, NAD)"
"2","guanosine ribonucleotides de novo biosynthesis"
"3","hydrogen production II"
"4","L-aspartate degradation II"
"5","L-aspartate biosynthesis"
"6","formate oxidation to CO2"
"7","CMP phosphorylation"
"8","UTP and CTP de novo biosynthesis"
"9","UDP-D-galactose biosynthesis"
"10","N-acetylglucosamine degradation I"
"11","UDP-N-acetyl-D-galactosamine biosynthesis II"
"12","menaquinol-8 biosynthesis"
"13","L-selenocysteine biosynthesis I (bacteria)"
"14","menaquinol-9 biosynthesis"
"15","L-glutamate degradation I"
"16","NAD biosynthesis I (from aspartate)"
"17","beta-alanine biosynthesis III"
"18","L-histidine biosynthesis"
"19","octaprenyl diphosphate biosynthesis"
"20","menaquinol-6 biosynthesis"
"21","pyruvate fermentation to lactate"
"22","pentose phosphate pathway (oxidative branch)"
"23","pyrimidine deoxyribonucleosides salvage"
"24","L-valine biosynthesis"
"25","ethanolamine utilization"
"26","L-proline biosynthesis I"
"27","pyrimidine deoxyribonucleotide phosphorylation"
"28","CO2 fixation into oxaloacetate (anaplerotic)"
"29","cyanate degradation"
"30","C4 photosynthetic carbon assimilation cycle, NAD-ME type"
"31","arginine dependent acid resistance"
"32","putrescine biosynthesis II"
"33","adenosine ribonucleotides de novo biosynthesis"
"34","palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)"
"35","3-dehydroquinate biosynthesis I"
"36","L-homoserine biosynthesis"
"37","L-isoleucine biosynthesis I (from threonine)"
"38","(R,R)-butanediol biosynthesis"
"39","(R,R)-butanediol degradation"
"40","betanidin degradation"
"41","L-arginine biosynthesis II (acetyl cycle)"
"42","L-threonine degradation IV"
"43","2-deoxy-alpha-D-ribose 1-phosphate degradation"
"44","L-asparagine biosynthesis I"
"45","purine deoxyribonucleosides degradation I"
"46","L-aspartate degradation I"
"47","L-glutamine biosynthesis I"
"48","inosine-5-phosphate biosynthesis II"
"49","Bifidobacterium shunt"
"50","partial TCA cycle (obligate autotrophs)"
"51","UTP and CTP dephosphorylation I"
"52","fatty acid elongation -- saturated"
"53","glycogen biosynthesis I (from ADP-D-Glucose)"
"54","2-oxoglutarate decarboxylation to succinyl-CoA"
"55","cis-vaccenate biosynthesis"
"56","UDP-N-acetyl-D-glucosamine biosynthesis I"
"57","lipoate biosynthesis and incorporation II"
"58","indole-3-acetate biosynthesis V (bacteria and fungi)"
"59","5-aminoimidazole ribonucleotide biosynthesis II"
"60","TCA cycle I (prokaryotic)"
"61","L-alanine biosynthesis III"
"62","thiosulfate disproportionation III (rhodanese)"
"63","acetate conversion to acetyl-CoA"
"64","glycine biosynthesis III"
"65","pyrimidine deoxyribonucleotides de novo biosynthesis III"
"66","UDP-alpha-D-glucuronate biosynthesis (from UDP-glucose)"
"67","L-alanine degradation IV"
"68","palmitate biosynthesis II (bacteria and plants)"
"69","methylerythritol phosphate pathway II"
"70","methylerythritol phosphate pathway I"
"71","fatty acid biosynthesis initiation I"
"72","lactose degradation III"
"73","S-methyl-5-thio-alpha-D-ribose 1-phosphate degradation"
"74","L-glutamine degradation I"
"75","octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)"
"76","L-tryptophan biosynthesis"
"77","adenine and adenosine salvage III"
"78","adenosine nucleotides degradation II"
"79","thiamine diphosphate biosynthesis I (E. coli)"
"80","L-lysine biosynthesis II"
"81","PRPP biosynthesis I"
"82","tRNA charging"
"83","sulfate reduction III (assimilatory)"
"84","L-lysine degradation I"
"85","CMP-3-deoxy-D-manno-octulosonate biosynthesis"
"86","L-ornithine biosynthesis I"
