IMGOID,GenomeName,Lake,Taxonomy(README),Taxonomy(GoogleDrive),Genome_Size,Est_Completeness,Genomess_w_>95%_ANI,Carbon_Metapathways,Carbon_IMG,Nitrogen_Meta,Nitrogen_IMG,Sulfur_Meta,Sulfur_IMG,Transporters,Annual_Trend,Motility,Other,,,Operon_check
2582580540,ME17476,ME,[Blank];[Blank];[Blank];;;,UNCLASSIFIED,5340721,95.28,none,"NAG, mannose, ethanol, xylose, glycerol, acetoin, methanol, formaldehyde","chitobiose, UDP-NAG, glucose, fructose, galactose, glycolate, cellobiose, galacturonate, starch/glycogen, ","urea_cycle, putrescine_biosynthesis","diss_nitrate_reduction, ammonia_assimilation",sulfate_red_ass,"sulfate_red_ass, alkanesulfonate","iron (III), LPS export, lipoprotein release, manganese/zinc/iron, molybdate, monosaccharide, multiple sugar, osmoprotectant, phosphate, phospholipid/cholesterol, ribose, sodium, sulfate, type II secretion (partial)",,"flagellum with type III secretion, chemotaxis (ribose?)",Oxidative phosphorylation,,,
2582580579,ME46339,ME,[Blank];[Blank];[Blank];;;,UNCLASSIFIED,733334,80.88,none,mannose,"starch/glycogen, cellulose synthesis, glucose",,,,,zinc,,,Limited central metabolism - no TCA or nucleotide synthesis,,,
2582580679,TH03772,TH,[Blank];[Blank];[Blank];;;,UNCLASSIFIED,823317,79.81,none,,,,ammonia_assimilation,,thiosulfate,LPS tranport,,,Oxidative phosphorylation,,,
2582580706,TH07795,TH,[Blank];[Blank];[Blank];;;,UNCLASSIFIED,819610,72.22,none,,starch/glycogen,,ammonia_assimilation,,,"branched amino, amino acid/amide",,,Oxidative phosphorylation,,,
2582580663,TH02565,TH,[Blank];[Blank];[Blank];;;,UNCLASSIFIED,843861,65.35,none,,,,,,,zinc,,,Oxidative phosphorylation,,,
2582580545,ME19941,ME,[Blank];[Blank];[Blank];;;,UNCLASSIFIED,1439254,65.34,none,acetoin,"UDP-NAG, glucose, maltose",putrescine_biosynthesis,,,,"heme, LPS export, lipoprotein, phosphate, phospholipid/cholesterol, phosphonate",,,Oxidative phosphorylation,,,
2582580652,TH01225,TH,[Blank];[Blank];[Blank];;;,TM7,915278,63.39,none,"mannose, can make dextrin?",,,"ammonia_assimilation, nitronate monooxygenase",,,,,one type IV gene,,,,
2582580562,ME30805,ME,[Blank];[Blank];[Blank];;;,UNCLASSIFIED,1047154,54.86,none,,two carotenoid genes,,,,,zinc,,,some oxidative phosphorylation,,,
2582580534,ME15468,ME,[Blank];[Blank];[Blank];;;,UNCLASSIFIED,684826,44.87,none,mannose,"glucose, cellobiose",,ammonia_assimilation,,,"carbohydrate, phosphonate, spermidine/putrescine",,,"No TCA cycle, seems very streamlined w/ small genome size. Parasitic candidate phyla member? Genome completeness may be underestimated",,,
2582580648,TE00911,TE,Acidobacteria;Holophagae;Holophagales;;;,ACIDOBACTERIA;HOLOPHAGAE;HOLOPHAGALES,3001284,95.72,2582580662,"thioadensoine, mannose, ethanol, acetoin, malate, formate","MurNAc, chitobiose, glucose, glycolate, starch/glycogen","urea_cycle, nitrogen_fixation, putrescine_biosynthesis, spermidine_biosynthesis, canavanine_biosynthesis","ammonia_assimilation, nitrogen_fixation, nitrous oxide reductase, one nitrate reductase","thiosulfate, sulfide_oxidation","thiosulfate, one sulfite reductase, no evidence for sulfate oxidation","branched amino, amino acid/amide, iron, LPS export, molybdate, oligopeptide/dipeptide, phosphate, phospholipid/cholesterol, sodium, tungstate/molybdate",,"chemotaxis (purine?), flagellum",Oxidative phosphorylation,,,n.fix
2582580672,TH03273,TH,Acidobacteria;Holophagae;Holophagales;;;,ACIDOBACTERIA;HOLOPHAGAE;HOLOPHAGALES,3335528,81.74,none,"NAG, thioadenosine, acetoin, propanoyl-CoA, glutaryl-CoA, malate, formate","formate, chitobiose, MurNAc, glucose, sucrose, tartrate, glycolate, maltose, dextrin, starch/glycogen","urea_cycle, putrescine_biosynthesis, canavanine_biosynthesis","partial nitrate_red_dis, partial denitrification, ammonia_assimlation, nitroalkane",thiosulfate,"sulfate_red_ass, thiosulfate","amino acid/amide, branched, iron, LPS export, lipoprotein release, maltose/maltodextrin, molybdate, multiple sugar, oligopeptide/didpetide, phosphate, phospholipid/cholesterol, phosphonate, sodium, sulfate, tungstate",,"chemotaxis (purine?), flagellum",Oxidative phosphorylation,,,
2582580662,TH00254,TH,Acidobacteria;Holophagae;Holophagales;;;,ACIDOBACTERIA;HOLOPHAGAE;HOLOPHAGALES,2981798,80.22,2582580648,"thioadenosine, mannose, acetoin","formate, MurNAc, chitin, chitobiose, glucose, glycolate, starch/glycogen",,"nitrogen fixation, nitric oxide reductase, nitrite reductase, ammonia_assimilation",thiosulfate,"thiosulfate, one sulfite reductase, one SOX","branched amino, amino acid/amide, iron, LPS export, molybdate, oligopeptide/dipeptide, phosphate, phospholipid/cholesterol, sodium, tungstate/molybdate",,"chemotaxis (purine?), flagellum",Oxidative phosphorylation,,,n.fix
2582580687,TH04565,TH,Acidobacteria;Holophagae;Holophagales;;;,ACIDOBACTERIA;HOLOPHAGAE;HOLOPHAGALES,3680673,79.39,none,"mannose, glycerol","chitin, chitobiose, MurNAc, fructose, glucose, sucrose, stachyose, raffinose, glycolate, glycerate, starch/glycogen, maltose",canavanine_biosynthesis,"nitrate_red_diss, partial denitrification, ammonia_assimilation",thiosulfate,"sufate_red_ass, thiosulfate, tetrathionate","amino acid/amide, branched amino, cobalt/nickel, iron, LPS export, lipoprotein release, maltose/maltodextrin, molybdate, multiple sugar, phosphate, phospholipid/cholesterol, sodium, tungstate, type VI secretion",,"chemotaxis (purine?), flagellum",Oxidative phosphorylation,,,
2582580641,TE05243,TE,Acidobacteria;Solibacteres;Solibacterales;;;,ACIDOBACTERIA;SOLIBACTERES;SOLIBACTERALES,2517309,65.82,none,"thioadensoine, mannose, fructose","two carotenoid genes, chitobiose, galactose, glycolate, pectate, trehalose, maltose, starch/glycogen, sucrose, maltose",,"ammonia_assimilation, one nitrite reductase",thiosulfate,sulfate_red_ass,"heme, iron, LPS transport, molybdate, phosphate, phospholipid/cholesterol, spermidine/putrescine, urea",,"chemotaxis, flagellum",Oxidative phosphorylation,,,
2582580670,TH03180,TH,Actinobacteria;[Blank];[Blank];;;,ACTINOBACTERIA,1149636,67.24,2582580628,citrate,"glucose, glucoside, cellobiose",,ammonia_assimliation,,"thiosulfate, phosphosulfate reductase, sulfate adenylyltransferase","amino acid/amide, biotin, heme, iron, iron(III), peptide/nickel, phosphate",,,Oxidative phosphorylation,,,
2582580617,TE00149,TE,Actinobacteria;[Blank];[Blank];;;,ACTINOBACTERIA,764032,64.1,2582580671,,,,ammonia_assimilation,,partial sufate_red_ass,"branched amino, amino acid/amide, biotin, iron, phosphate, polar amino",,,Oxidative phosphorylation,,,
