SAMPLE	PWY_NAME	PWY_COMMON_NAME	NUM_REACTIONS	NUM_COVERED_REACTIONS	ORF_COUNT
m2236347068	PWY-5	canavanine biosynthesis	4	2	2
m2236347068	PWY-5783	octaprenyl diphosphate biosynthesis	1	1	1
m2236347068	PWY0-1313	acetate conversion to acetyl-CoA	1	1	3
m2236347068	PWY-6936	seleno-amino acid biosynthesis	5	1	1
m2236347068	GLUTATHIONESYN-PWY	glutathione biosynthesis	2	2	2
m2236347068	ARG-PRO-PWY	L-arginine degradation VI (arginase 2 pathway)	4	1	1
m2236347068	PWY-6164	3-dehydroquinate biosynthesis I	2	1	1
m2236347068	PWY-7663	gondoate biosynthesis (anaerobic)	4	4	5
m2236347068	GLNSYN-PWY	L-glutamine biosynthesis I	1	1	2
m2236347068	PWY-7346	UDP-alpha-D-glucuronate biosynthesis (from UDP-glucose)	1	1	1
m2236347068	PWY-4984	urea cycle	5	3	4
m2236347068	PWY-5686	UMP biosynthesis	6	3	4
m2236347068	P21-PWY	pentose phosphate pathway (partial)	3	2	2
m2236347068	PWY-6614	tetrahydrofolate biosynthesis	3	1	1
m2236347068	PWY-7204	pyridoxal 5-phosphate salvage II (plants)	9	5	2
m2236347068	PWY-6019	pseudouridine degradation	2	1	3
m2236347068	PWY-5122	geranyl diphosphate biosynthesis	1	1	1
m2236347068	PWY-5785	"di-trans,poly-cis-undecaprenyl phosphate biosynthesis"	2	1	1
m2236347068	PWY0-1586	peptidoglycan maturation (meso-diaminopimelate containing)	12	3	2
m2236347068	TYRFUMCAT-PWY	L-tyrosine degradation I	5	1	2
m2236347068	PWY66-373	sucrose degradation V (sucrose alpha-glucosidase)	5	1	1
m2236347068	VALSYN-PWY	L-valine biosynthesis	4	4	5
m2236347068	PWY-6894	thiamine diphosphate biosynthesis I (E. coli)	2	1	1
m2236347068	PWY-2301	myo-inositol biosynthesis	2	1	1
m2236347068	PWY-6363	"D-myo-inositol (1,4,5)-trisphosphate degradation"	3	1	1
m2236347068	PWY-4081	glutathione-peroxide redox reactions	3	1	1
m2236347068	TRNA-CHARGING-PWY	tRNA charging	21	10	10
m2236347068	GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	12	8	7
m2236347068	PWY-5989	stearate biosynthesis II (bacteria and plants)	6	5	6
m2236347068	PWY-5971	palmitate biosynthesis II (bacteria and plants)	31	29	6
m2236347068	PWY-5143	long-chain fatty acid activation	1	1	1
m2236347068	HOMOSERSYN-PWY	L-homoserine biosynthesis	3	1	1
m2236347068	PWY-6000	gamma-linolenate biosynthesis II (animals)	2	1	1
m2236347068	PWY-5669	phosphatidylethanolamine biosynthesis I	2	2	3
m2236347068	PWY0-1261	anhydromuropeptides recycling	10	4	7
m2236347068	UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I	5	3	6
m2236347068	PWY-2781	cis-zeatin biosynthesis	5	1	1
m2236347068	PWY0-541	cyclopropane fatty acid (CFA) biosynthesis	1	1	1
m2236347068	PWY-7112	4-hydroxy-2-nonenal detoxification	4	1	1
m2236347068	PWY490-4	L-asparagine biosynthesis III (tRNA-dependent)	3	2	4
m2236347068	PWY-7219	adenosine ribonucleotides de novo biosynthesis	4	3	5
m2236347068	PWY-6308	L-cysteine biosynthesis II (tRNA-dependent)	3	1	1
m2236347068	GLUTSYN-PWY	L-glutamate biosynthesis I	1	1	1
m2236347068	PWY-5350	thiosulfate disproportionation III (rhodanese)	1	1	2
m2236347068	GLUTAMINEFUM-PWY	L-glutamine degradation II	1	1	1
m2236347068	PWY-6124	inosine-5-phosphate biosynthesis II	5	4	5
m2236347068	HOMOSER-THRESYN-PWY	L-threonine biosynthesis	2	2	2
m2236347068	PWY-6700	queuosine biosynthesis	4	1	1
m2236347068	PWY0-662	PRPP biosynthesis I	1	1	1
m2236347068	PWY-6139	CMP-N-acetylneuraminate biosynthesis II (bacteria)	3	1	1
m2236347068	LEUSYN-PWY	L-leucine biosynthesis	6	2	2
m2236347068	PWY-7417	"phospholipid remodeling (phosphatidate, yeast)"	2	1	1
m2236347068	PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	2	1	3
m2236347068	PWY-5667	CDP-diacylglycerol biosynthesis I	4	2	2
m2236347068	PWY-7220	adenosine deoxyribonucleotides de novo biosynthesis II	4	2	3
m2236347068	ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	7	4	5
m2236347068	TCA	TCA cycle I (prokaryotic)	10	7	9
m2236347068	PWY-7222	guanosine deoxyribonucleotides de novo biosynthesis II	4	2	3
m2236347068	PWY-4621	arsenate detoxification II (glutaredoxin)	2	1	1
m2236347068	PWY0-1319	CDP-diacylglycerol biosynthesis II	4	2	2
m2236347068	DAPLYSINESYN-PWY	L-lysine biosynthesis I	9	5	6
m2236347068	PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA	3	2	2
m2236347068	PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	9	8	5
m2236347068	PANTO-PWY	phosphopantothenate biosynthesis I	4	2	3
m2236347068	DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	4	4	4
m2236347068	FASYN-ELONG-PWY	fatty acid elongation -- saturated	5	4	5
