"SAMPLE","PWY_NAME","PWY_COMMON_NAME","RXN","ORF","coverage"
"m2582580512","PWY-5382","hydrogen oxidation II (aerobic, NAD)","HYDROGEN-DEHYDROGENASE-RXN","m2582580512_324_3",100
"m2582580512","PWY-7221","guanosine ribonucleotides de novo biosynthesis","GMP-SYN-GLUT-RXN","m2582580512_160_3",75
"m2582580512","PWY-7221","guanosine ribonucleotides de novo biosynthesis","GDPKIN-RXN","m2582580512_205_4",75
"m2582580512","PWY-7221","guanosine ribonucleotides de novo biosynthesis","GUANYL-KIN-RXN","m2582580512_149_16",75
"m2582580512","PWY-7221","guanosine ribonucleotides de novo biosynthesis","GMP-SYN-GLUT-RXN","m2582580512_298_7",75
"m2582580512","PWY-6758","hydrogen production II","HYDROGEN-DEHYDROGENASE-RXN","m2582580512_324_3",100
"m2582580512","MALATE-ASPARTATE-SHUTTLE-PWY","L-aspartate degradation II","ASPAMINOTRANS-RXN","m2582580512_70_1",100
"m2582580512","MALATE-ASPARTATE-SHUTTLE-PWY","L-aspartate degradation II","MALATE-DEH-RXN","m2582580512_243_0",100
"m2582580512","MALATE-ASPARTATE-SHUTTLE-PWY","L-aspartate degradation II","ASPAMINOTRANS-RXN","m2582580512_41_7",100
"m2582580512","MALATE-ASPARTATE-SHUTTLE-PWY","L-aspartate degradation II","ASPAMINOTRANS-RXN","m2582580512_251_4",100
"m2582580512","ASPARTATESYN-PWY","L-aspartate biosynthesis","ASPAMINOTRANS-RXN","m2582580512_70_1",100
"m2582580512","ASPARTATESYN-PWY","L-aspartate biosynthesis","ASPAMINOTRANS-RXN","m2582580512_41_7",100
"m2582580512","ASPARTATESYN-PWY","L-aspartate biosynthesis","ASPAMINOTRANS-RXN","m2582580512_251_4",100
"m2582580512","PWY-1881","formate oxidation to CO2","1.2.1.2-RXN","m2582580512_324_2",100
"m2582580512","PWY-7205","CMP phosphorylation","CDPKIN-RXN","m2582580512_205_4",100
"m2582580512","PWY-7205","CMP phosphorylation","RXN-11832","m2582580512_8_4",100
"m2582580512","PWY-7176","UTP and CTP de novo biosynthesis","UDPKIN-RXN","m2582580512_205_4",100
"m2582580512","PWY-7176","UTP and CTP de novo biosynthesis","CTPSYN-RXN","m2582580512_256_8",100
"m2582580512","PWY-7176","UTP and CTP de novo biosynthesis","RXN-12002","m2582580512_246_2",100
"m2582580512","PWY-7176","UTP and CTP de novo biosynthesis","RXN-12002","m2582580512_8_4",100
"m2582580512","PWY-7344","UDP-D-galactose biosynthesis","UDPGLUCEPIM-RXN","m2582580512_206_4",100
"m2582580512","PWY-7344","UDP-D-galactose biosynthesis","UDPGLUCEPIM-RXN","m2582580512_322_2",100
"m2582580512","GLUAMCAT-PWY","N-acetylglucosamine degradation I","NAG6PDEACET-RXN","m2582580512_83_7",100
"m2582580512","GLUAMCAT-PWY","N-acetylglucosamine degradation I","GLUCOSAMINE-6-P-DEAMIN-RXN","m2582580512_85_2",100
"m2582580512","MENAQUINONESYN-PWY","menaquinol-8 biosynthesis","ADOMET-DMK-METHYLTRANSFER-RXN","m2582580512_310_2",100
"m2582580512","PWY-5844","menaquinol-9 biosynthesis","RXN-9205","m2582580512_310_2",100
"m2582580512","GLUTAMATE-DEG1-PWY","L-glutamate degradation I","GLUTAMATE-DEHYDROGENASE-RXN","m2582580512_180_1",100
"m2582580512","PWY-5155","beta-alanine biosynthesis III","ASPDECARBOX-RXN","m2582580512_236_2",100
"m2582580512","PWY-5783","octaprenyl diphosphate biosynthesis","RXN-8992","m2582580512_174_1",100
"m2582580512","PWY-5849","menaquinol-6 biosynthesis","RXN-9220","m2582580512_310_2",100
