"","gene_oid","Locus.Tag","Gene.Symbol","Product.Name","DNA.Seq.Length","AA.Seq.Length","Genome","Enzymes","COGs","COG.Categories","Pfams","TIGRfams","Signal.Peptide","Transmembrane.Helices","Kegg.Category","modulekey"
"1",2582840095,"TE1149DRAFT_00074",NA,"Gluconolactonase",828,275,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.1149","EC:3.1.1.17","COG3386","G","pfam08450","","Yes","No","Aromatic degradation","M00124"
"2",2582842183,"TE1149DRAFT_02163",NA,"Ferredoxin subunits of nitrite reductase and ring-hydroxylating dioxygenases",315,104,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.1149","","COG2146","P R","pfam00355","","No","No","Aromatic degradation",NA
"3",2582843712,"TE1301DRAFT_01267",NA,"NAD-dependent aldehyde dehydrogenases",1599,532,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.1301","EC:1.2.1.4","COG1012","C","pfam00171","","No","No","Aromatic degradation",NA
"4",2582844193,"TE1301DRAFT_01748",NA,"Gluconolactonase",960,319,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.1301","EC:3.1.1.17","COG3386","G","pfam08450","","Yes","No","Aromatic degradation","M00124"
"5",2595261388,"TE02057DRAFT_00819",NA,"Ferredoxin subunits of nitrite reductase and ring-hydroxylating dioxygenases",315,104,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2057.v2","","COG2146","P R","pfam00355","","No","No","Aromatic degradation",NA
"6",2582849197,"TE2093DRAFT_00754",NA,"Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases",825,274,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2093","EC:4.1.1.-","COG0235","G","pfam00596","","Yes","Yes","Aromatic degradation","M00124"
"7",2582849462,"TE2093DRAFT_01019",NA,"Zn-dependent alcohol dehydrogenases, class III",1101,366,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2093","EC:1.1.1.1 EC:1.1.1.284","COG1062","C","pfam00107 pfam08240","","No","No","Aromatic degradation","M00555"
"8",2582850588,"TE2094DRAFT_00630",NA,"Uncharacterized protein, 4-oxalocrotonate tautomerase homolog",390,129,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2094","EC:5.3.2.6","COG1942","R","pfam01361","","No","No","Aromatic degradation","M00124"
"9",2582850931,"TE2094DRAFT_00974",NA,"phenol 2-monooxygenase P0 subunit (EC 1.14.13.7)",261,86,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2094","","","","pfam06099","","No","No","Aromatic degradation",NA
"10",2582850932,"TE2094DRAFT_00975",NA,"2-polyprenylphenol hydroxylase and related flavodoxin oxidoreductases",1017,338,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2094","EC:1.18.1.3","COG0543","H C","pfam00111 pfam00175 pfam00970","","No","No","Aromatic degradation","M00125"
"11",2582850935,"TE2094DRAFT_00978",NA,"4-oxalocrotonate isomerase (EC 5.3.2.-)",192,63,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2094","EC:5.3.2.6","COG1942","R","pfam01361","TIGR00013","No","No","Aromatic degradation","M00124"
