IMG_OID,Lake,Taxonomy,Gene_Count,Diversity,Density,Order
2582580512,Mendota,Planctomycetes;Planctomycetia;Planctomycetales;;;,2450,6,0.571428571428571,Planctomycetales
2582580513,Mendota,Actinobacteria;Actinobacteria;Actinomycetales;;;,2111,12,0.615821885362387,Actinomycetales
2582580514,Mendota,Tenericutes;Mollicutes;Mycoplasmatales;;;,895,11,1.67597765363128,Mycoplasmatales
2582580515,Mendota,Proteobacteria;Betaproteobacteria;Burkholderiales;;;,2597,7,0.308047747400847,Burkholderiales
2582580516,Mendota,Proteobacteria;Deltaproteobacteria;[Blank];;;,2076,6,0.578034682080925,NA
2582580517,Mendota,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,1845,5,0.32520325203252,Acidimicrobiales
2582580518,Mendota,Cyanobacteria;[Blank];[Blank];;;,2941,12,0.442026521591295,NA
2582580519,Mendota,Bacteroidetes;Cytophagia;Cytophagales;;;,1537,19,1.95185426154847,Cytophagales
2582580520,Mendota,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,1337,3,0.299177262528048,Acidimicrobiales
2582580521,Mendota,Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;;;,2043,25,1.61527165932452,Verrucomicrobiales
2582580522,Mendota,Planctomycetes;[Blank];[Blank];;;,2909,8,0.343760742523204,NA
2582580523,Mendota,Verrucomicrobia;[Blank];[Blank];;;,2301,7,0.391134289439374,NA
2582580524,Mendota,Verrucomicrobia;Opitutae;Puniceicoccales;;;,1792,13,1.11607142857143,Puniceicoccales
2582580525,Mendota,Cyanobacteria;[Blank];[Blank];;;,2527,11,0.593589236248516,NA
2582580526,Mendota,Bacteroidetes;Flavobacteriia;Flavobacteriales;;;,2980,10,0.536912751677852,Flavobacteriales
2582580527,Mendota,Bacteroidetes;Flavobacteriia;Flavobacteriales;;;,2194,20,1.18505013673655,Flavobacteriales
2582580528,Mendota,Actinobacteria;Actinobacteria;[Blank];;;,950,2,0.210526315789474,NA
2582580529,Mendota,Planctomycetes;Planctomycetia;Planctomycetales;;;,2766,11,0.723065798987708,Planctomycetales
2582580530,Mendota,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,1599,6,0.375234521575985,Acidimicrobiales
2582580531,Mendota,Cyanobacteria;[Blank];[Blank];;;,3116,15,0.609756097560976,NA
2582580532,Mendota,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,2280,34,2.85087719298246,Sphingobacteriales
2582580533,Mendota,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,2033,30,2.31185440236104,Sphingobacteriales
2582580536,Mendota,Planctomycetes;Planctomycetia;Planctomycetales;;;,3377,11,0.740302043233639,Planctomycetales
2582580537,Mendota,Cyanobacteria;[Blank];[Blank];;;,3798,19,0.526592943654555,NA
2582580538,Mendota,Proteobacteria;Betaproteobacteria;Burkholderiales;;;,3077,6,0.292492687682808,Burkholderiales
2582580539,Mendota,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,1872,8,0.534188034188034,Acidimicrobiales
2582580540,Mendota,[Blank];[Blank];[Blank];;;,4185,17,0.860215053763441,NA
2582580541,Mendota,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,1538,14,1.49544863459038,Sphingobacteriales
2582580542,Mendota,Planctomycetes;Planctomycetia;Planctomycetales;;;,1951,14,1.12762685802153,Planctomycetales
2582580543,Mendota,Bacteroidetes;Flavobacteriia;Flavobacteriales;;;,1721,9,1.0459035444509,Flavobacteriales
2582580544,Mendota,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,2337,16,0.94137783483098,Acidimicrobiales
2582580545,Mendota,[Blank];[Blank];[Blank];;;,1419,9,0.775193798449612,NA
2582580546,Mendota,Verrucomicrobia;Opitutae;[Blank];;;,1670,11,1.31736526946108,NA
2582580547,Mendota,Planctomycetes;Planctomycetia;Planctomycetales;;;,3215,8,0.559875583203733,Planctomycetales
2582580548,Mendota,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,2084,12,0.719769673704415,Sphingobacteriales
2582580549,Mendota,Bacteroidetes;Flavobacteriia;Flavobacteriales;;;,2471,18,1.05220558478349,Flavobacteriales
2582580550,Mendota,Actinobacteria;Actinobacteria;[Blank];;;,1385,7,0.72202166064982,NA
2582580551,Mendota,Cyanobacteria;[Blank];[Blank];;;,3378,15,0.59206631142688,NA
2582580552,Mendota,Cyanobacteria;[Blank];[Blank];;;,4197,13,0.33357159876102,NA
2582580553,Mendota,Actinobacteria;Actinobacteria;Actinomycetales;;;,1014,6,1.08481262327416,Actinomycetales
2582580554,Mendota,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,1725,6,0.405797101449275,Acidimicrobiales
2582580555,Mendota,Actinobacteria;Actinobacteria;[Blank];;;,785,2,0.382165605095541,NA
2582580556,Mendota,Proteobacteria;Betaproteobacteria;Rhodocyclales;;;,2933,9,0.443232185475622,Rhodocyclales
2582580557,Mendota,Proteobacteria;Betaproteobacteria;[Blank];;;,917,4,0.654307524536532,NA
2582580558,Mendota,Planctomycetes;Planctomycetia;Planctomycetales;;;,3083,14,0.810898475510866,Planctomycetales
2582580559,Mendota,Verrucomicrobia;[Blank];[Blank];;;,1139,18,2.19490781387182,NA
2582580560,Mendota,Planctomycetes;Planctomycetia;Planctomycetales;;;,3762,10,0.637958532695375,Planctomycetales
2582580561,Mendota,Proteobacteria;Betaproteobacteria;Methylophilales;;;,1348,6,0.816023738872404,Methylophilales
2582580562,Mendota,[Blank];[Blank];[Blank];;;,1165,5,0.429184549356223,NA
2582580563,Mendota,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,1718,6,0.407450523864959,Sphingobacteriales
2582580564,Mendota,Actinobacteria;Actinobacteria;[Blank];;;,1112,2,0.179856115107914,NA
2582580565,Mendota,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,1898,2,0.105374077976818,Acidimicrobiales
2582580566,Mendota,Proteobacteria;Gammaproteobacteria;Methylococcales;;;,2261,10,0.70765148164529,Methylococcales
2582580567,Mendota,Cyanobacteria;[Blank];[Blank];;;,2054,11,0.584225900681597,NA
2582580568,Mendota,Bacteroidetes;Flavobacteriia;Flavobacteriales;;;,2531,13,0.711181351244567,Flavobacteriales
2582580569,Mendota,Planctomycetes;Planctomycetia;Planctomycetales;;;,2827,9,0.742836929607358,Planctomycetales
2582580570,Mendota,Proteobacteria;[Blank];[Blank];;;,1224,2,0.163398692810458,NA
2582580571,Mendota,Bacteroidetes;Sphingobacteriia;[Blank];;;,1551,8,0.709219858156028,NA
