HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
CE10.hmm	341	2582681174_1_1356_+	451	1.7e-20	78	316	212	432	0.697947214076
GH84.hmm	295	2582681180_1_1224_+	407	1.5e-57	2	268	7	258	0.901694915254
GH29.hmm	346	2582681308_1_1341_+	446	5.5e-91	27	345	3	362	0.919075144509
GT2_Glyco_trans_2_3.hmm	197	2582681339_1_1368_+	455	6e-16	2	196	150	339	0.984771573604
GH5_13.hmm	275	2582681453_1_1050_+	349	4e-104	2	275	32	304	0.992727272727
AA7.hmm	458	2582681669_1_1479_+	492	6.5e-18	8	377	72	435	0.805676855895
GT4.hmm	160	2582681722_1_1149_+	382	3.9e-35	6	157	174	320	0.94375
GT28.hmm	157	2582681754_1_1131_+	376	1.1e-40	2	153	195	349	0.96178343949
AA3.hmm	618	2582681830_1_1245_+	414	7.9e-27	92	397	7	409	0.493527508091
CE10.hmm	341	2582681894_1_2061_+	686	6.1e-20	35	309	401	663	0.803519061584
GT4.hmm	160	2582681964_1_1287_+	428	1.5e-26	21	159	250	387	0.8625
CE10.hmm	341	2582681981_1_921_+	306	4.4e-71	30	337	9	300	0.900293255132
AA1_3.hmm	312	2582681991_1_1383_+	460	2.6e-25	31	262	214	431	0.740384615385
GH38.hmm	269	2582682048_1_3018_+	1005	2.4e-79	2	256	255	509	0.944237918216
CE10.hmm	341	2582682062_1_789_+	262	7.6e-20	93	308	40	235	0.630498533724
GT4.hmm	160	2582682082_1_948_+	315	1.8e-26	9	151	148	279	0.8875
GT4.hmm	160	2582682083_1_1137_+	378	5.7e-29	10	146	198	334	0.85
GH84.hmm	295	2582682108_1_1224_+	407	2.7e-58	2	275	7	262	0.925423728814
GT2_Glycos_transf_2.hmm	170	2582682113_1_1431_+	476	3.9e-22	2	166	5	174	0.964705882353
GT2_Glycos_transf_2.hmm	170	2582682156_1_903_+	300	1.5e-27	1	166	11	167	0.970588235294
GT51.hmm	177	2582682179_1_2346_+	781	7.3e-55	4	175	82	254	0.966101694915
AA7.hmm	458	2582682186_1_1479_+	492	4.1e-18	8	378	72	436	0.807860262009
GT4.hmm	160	2582682196_1_1122_+	373	2.3e-37	2	159	182	345	0.98125
CE14.hmm	124	2582682261_1_774_+	257	1.9e-30	1	124	27	143	0.991935483871
CE14.hmm	124	2582682277_1_480_+	159	1.2e-38	1	124	1	145	0.991935483871
GT4.hmm	160	2582682381_1_1212_+	403	3.5e-43	8	159	213	368	0.94375
GH4.hmm	179	2582682434_1_1359_+	452	1e-71	1	178	3	182	0.988826815642
CE14.hmm	124	2582682492_1_795_+	264	1.7e-40	2	124	6	134	0.983870967742
GT2_Glycos_transf_2.hmm	170	2582682565_1_744_+	247	4.7e-32	1	156	10	171	0.911764705882
GH3.hmm	216	2582682637_1_2442_+	813	1.4e-65	4	216	32	243	0.981481481481
GH2.hmm	752	2582682643_1_2916_+	971	1.3e-190	19	751	39	857	0.973404255319
GT76.hmm	407	2582682711_1_1194_+	397	2.5e-18	41	219	58	240	0.437346437346
CE1.hmm	227	2582682749_1_1224_+	407	9.6e-28	6	143	149	325	0.603524229075
CE4.hmm	130	2582682839_1_651_+	216	4.5e-19	3	124	36	156	0.930769230769
AA7.hmm	458	2582682844_1_1293_+	430	5.6e-18	6	182	6	181	0.384279475983
CE10.hmm	341	2582682857_1_1428_+	475	1.1e-40	73	208	76	214	0.395894428152
CE9.hmm	373	2582682891_1_1083_+	360	7.3e-98	9	371	13	356	0.970509383378
GH109.hmm	126	2582682911_1_1077_+	358	6.1e-16	1	119	4	117	0.936507936508
AA7.hmm	458	2582682914_1_1293_+	430	5.2e-18	6	182	6	181	0.384279475983
CE4.hmm	130	2582682919_1_651_+	216	4.5e-19	3	124	36	156	0.930769230769
GH84.hmm	295	2582682992_1_1224_+	407	9.4e-58	2	275	7	262	0.925423728814
GT2_Glyco_tranf_2_3.hmm	230	2582683005_1_1749_+	582	6.2e-16	4	212	143	362	0.904347826087
